Massachusetts, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,3.72,0.50
195102,4.61,1.39
195202,3.66,0.44
195302,3.54,0.32
195402,2.70,-0.52
195502,3.86,0.64
195602,4.25,1.03
195702,1.37,-1.85
195802,3.13,-0.09
195902,3.00,-0.22
196002,4.75,1.53
196102,3.31,0.09
196202,4.21,0.99
196302,3.15,-0.07
196402,3.38,0.16
196502,3.08,-0.14
196602,3.19,-0.03
196702,3.23,0.01
196802,1.00,-2.22
196902,4.93,1.71
197002,4.79,1.57
197102,4.52,1.30
197202,4.84,1.62
197302,2.86,-0.36
197402,2.68,-0.54
197502,3.48,0.26
197602,2.88,-0.34
197702,2.58,-0.64
197802,1.79,-1.43
197902,3.28,0.06
198002,0.99,-2.23
198102,7.68,4.46
198202,3.41,0.19
198302,4.35,1.13
198402,6.14,2.92
198502,2.18,-1.04
198602,3.14,-0.08
198702,0.53,-2.69
198802,4.19,0.97
198902,2.65,-0.57
199002,3.86,0.64
199102,1.99,-1.23
199202,2.14,-1.08
199302,3.54,0.32
199402,2.51,-0.71
199502,2.74,-0.48
199602,3.06,-0.16
199702,2.08,-1.14
199802,4.48,1.26
199902,3.59,0.37
200002,3.37,0.15
200102,2.78,-0.44
200202,2.25,-0.97
200302,4.05,0.83
200402,1.77,-1.45
200502,2.74,-0.48
200602,2.41,-0.81
200702,2.15,-1.07
200802,8.50,5.28
200902,1.79,-1.43
201002,4.45,1.23
201102,4.18,0.96
201202,1.08,-2.14
201302,4.25,1.03
201402,4.18,0.96
201502,2.99,-0.23
201602,4.69,1.47
201702,2.68,-0.54
201802,4.88,1.66
201902,3.21,-0.01
202002,3.31,0.09
202102,3.21,-0.01
