Ohio, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,4.51,0.53
195106,4.42,0.44
195206,2.78,-1.20
195306,2.74,-1.24
195406,3.36,-0.62
195506,2.63,-1.35
195606,4.08,0.10
195706,5.90,1.92
195806,6.20,2.22
195906,2.78,-1.20
196006,3.56,-0.42
196106,4.30,0.32
196206,1.99,-1.99
196306,2.52,-1.46
196406,3.56,-0.42
196506,2.17,-1.81
196606,2.05,-1.93
196706,1.97,-2.01
196806,3.39,-0.59
196906,4.67,0.69
197006,4.17,0.19
197106,3.55,-0.43
197206,3.87,-0.11
197306,5.35,1.37
197406,4.38,0.40
197506,4.34,0.36
197606,4.81,0.83
197706,3.84,-0.14
197806,3.93,-0.05
197906,3.91,-0.07
198006,5.11,1.13
198106,6.42,2.44
198206,4.18,0.20
198306,3.06,-0.92
198406,1.89,-2.09
198506,2.92,-1.06
198606,4.55,0.57
198706,4.46,0.48
198806,0.83,-3.15
198906,5.63,1.65
199006,3.85,-0.13
199106,1.77,-2.21
199206,2.69,-1.29
199306,4.63,0.65
199406,4.13,0.15
199506,4.23,0.25
199606,4.89,0.91
199706,5.13,1.15
199806,7.20,3.22
199906,2.10,-1.88
200006,4.89,0.91
200106,3.09,-0.89
200206,3.58,-0.40
200306,3.97,-0.01
200406,4.58,0.60
200506,1.78,-2.20
200606,4.57,0.59
200706,2.77,-1.21
200806,6.42,2.44
200906,4.01,0.03
201006,6.32,2.34
201106,3.81,-0.17
201206,2.12,-1.86
201306,5.92,1.94
201406,5.42,1.44
201506,8.03,4.05
201606,3.29,-0.69
201706,4.62,0.64
201806,5.50,1.52
201906,6.76,2.78
202006,3.12,-0.86
202106,4.25,0.27
