Illinois, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,3.59,1.73
195102,3.92,2.06
195202,1.58,-0.28
195302,1.52,-0.34
195402,1.83,-0.03
195502,2.55,0.69
195602,2.88,1.02
195702,2.13,0.27
195802,0.69,-1.17
195902,2.49,0.63
196002,2.19,0.33
196102,1.82,-0.04
196202,2.29,0.43
196302,0.58,-1.28
196402,1.29,-0.57
196502,1.92,0.06
196602,2.17,0.31
196702,1.27,-0.59
196802,1.17,-0.69
196902,1.08,-0.78
197002,0.96,-0.90
197102,2.94,1.08
197202,1.18,-0.68
197302,1.13,-0.73
197402,2.22,0.36
197502,3.00,1.14
197602,2.09,0.23
197702,1.42,-0.44
197802,0.67,-1.19
197902,1.79,-0.07
198002,1.29,-0.57
198102,2.26,0.40
198202,1.26,-0.60
198302,1.14,-0.72
198402,2.20,0.34
198502,3.40,1.54
198602,2.66,0.80
198702,0.80,-1.06
198802,1.94,0.08
198902,2.01,0.15
199002,4.02,2.16
199102,0.96,-0.90
199202,1.46,-0.40
199302,1.78,-0.08
199402,1.70,-0.16
199502,1.00,-0.86
199602,0.80,-1.06
199702,3.90,2.04
199802,2.53,0.67
199902,2.42,0.56
200002,2.53,0.67
200102,3.19,1.33
200202,1.83,-0.03
200302,1.83,-0.03
200402,0.76,-1.10
200502,1.88,0.02
200602,0.88,-0.98
200702,2.31,0.45
200802,4.40,2.54
200902,2.43,0.57
201002,1.53,-0.33
201102,3.24,1.38
201202,1.48,-0.38
201302,2.65,0.79
201402,2.22,0.36
201502,1.43,-0.43
201602,1.31,-0.55
201702,0.73,-1.13
201802,4.88,3.02
201902,3.21,1.35
202002,2.01,0.15
202102,1.67,-0.19
