Kansas, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,3.58,-0.27
195105,6.37,2.52
195205,2.43,-1.42
195305,2.55,-1.30
195405,4.25,0.40
195505,4.71,0.86
195605,2.46,-1.39
195705,6.52,2.67
195805,3.85,0.00
195905,4.72,0.87
196005,3.09,-0.76
196105,6.12,2.27
196205,3.17,-0.68
196305,2.43,-1.42
196405,3.75,-0.10
196505,3.32,-0.53
196605,0.94,-2.91
196705,3.11,-0.74
196805,3.69,-0.16
196905,3.95,0.10
197005,3.07,-0.78
197105,4.12,0.27
197205,4.30,0.45
197305,2.99,-0.86
197405,2.80,-1.05
197505,4.82,0.97
197605,3.23,-0.62
197705,6.17,2.32
197805,5.13,1.28
197905,3.40,-0.45
198005,2.65,-1.20
198105,6.43,2.58
198205,6.63,2.78
198305,3.92,0.07
198405,2.60,-1.25
198505,3.49,-0.36
198605,3.66,-0.19
198705,5.49,1.64
198805,2.58,-1.27
198905,4.09,0.24
199005,5.51,1.66
199105,4.05,0.20
199205,2.40,-1.45
199305,6.05,2.20
199405,1.50,-2.35
199505,8.79,4.94
199605,4.98,1.13
199705,3.31,-0.54
199805,2.06,-1.79
199905,4.42,0.57
200005,2.67,-1.18
200105,5.26,1.41
200205,3.90,0.05
200305,3.47,-0.38
200405,2.47,-1.38
200505,3.18,-0.67
200605,2.76,-1.09
200705,5.98,2.13
200805,5.13,1.28
200905,2.74,-1.11
201005,4.06,0.21
201105,3.44,-0.41
201205,1.47,-2.38
201305,3.96,0.11
201405,1.98,-1.87
201505,8.28,4.43
201605,4.58,0.73
201705,4.83,0.98
201805,4.10,0.25
201905,10.51,6.66
202005,4.09,0.24
202105,5.56,1.71
