Maine, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,2.55,-0.23
195102,4.45,1.67
195202,4.33,1.55
195302,3.16,0.38
195402,4.12,1.34
195502,5.29,2.51
195602,2.57,-0.21
195702,1.66,-1.12
195802,3.08,0.30
195902,2.18,-0.60
196002,5.56,2.78
196102,3.17,0.39
196202,1.88,-0.90
196302,2.97,0.19
196402,1.34,-1.44
196502,3.56,0.78
196602,2.34,-0.44
196702,2.78,0.00
196802,1.61,-1.17
196902,4.49,1.71
197002,4.87,2.09
197102,4.39,1.61
197202,3.73,0.95
197302,3.21,0.43
197402,2.33,-0.45
197502,1.80,-0.98
197602,3.87,1.09
197702,2.88,0.10
197802,1.06,-1.72
197902,2.30,-0.48
198002,0.96,-1.82
198102,3.64,0.86
198202,2.68,-0.10
198302,2.76,-0.02
198402,4.11,1.33
198502,2.88,0.10
198602,1.46,-1.32
198702,0.53,-2.25
198802,2.93,0.15
198902,2.15,-0.63
199002,2.24,-0.54
199102,1.27,-1.51
199202,2.97,0.19
199302,3.21,0.43
199402,1.41,-1.37
199502,2.60,-0.18
199602,3.73,0.95
199702,2.61,-0.17
199802,3.57,0.79
199902,2.22,-0.56
200002,3.11,0.33
200102,2.69,-0.09
200202,3.25,0.47
200302,2.66,-0.12
200402,1.44,-1.34
200502,2.53,-0.25
200602,2.51,-0.27
200702,2.06,-0.72
200802,5.36,2.58
200902,2.65,-0.13
201002,2.67,-0.11
201102,2.95,0.17
201202,1.76,-1.02
201302,3.06,0.28
201402,2.85,0.07
201502,1.74,-1.04
201602,4.74,1.96
201702,3.11,0.33
201802,3.02,0.24
201902,2.87,0.09
202002,2.85,0.07
202102,2.87,0.09
