Indiana, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,5.28,2.05
195109,2.63,-0.60
195209,3.36,0.13
195309,1.17,-2.06
195409,1.72,-1.51
195509,4.21,0.98
195609,1.50,-1.73
195709,2.56,-0.67
195809,3.54,0.31
195909,3.47,0.24
196009,1.59,-1.64
196109,3.62,0.39
196209,2.49,-0.74
196309,0.81,-2.42
196409,2.07,-1.16
196509,5.63,2.40
196609,3.76,0.53
196709,1.70,-1.53
196809,2.77,-0.46
196909,3.38,0.15
197009,4.25,1.02
197109,4.68,1.45
197209,6.41,3.18
197309,1.74,-1.49
197409,4.34,1.11
197509,2.70,-0.53
197609,2.81,-0.42
197709,3.83,0.60
197809,1.39,-1.84
197909,1.64,-1.59
198009,3.11,-0.12
198109,3.30,0.07
198209,2.57,-0.66
198309,1.72,-1.51
198409,4.01,0.78
198509,1.93,-1.30
198609,4.68,1.45
198709,1.91,-1.32
198809,2.74,-0.49
198909,4.95,1.72
199009,2.59,-0.64
199109,2.34,-0.89
199209,4.62,1.39
199309,6.24,3.01
199409,2.38,-0.85
199509,1.07,-2.16
199609,4.94,1.71
199709,2.26,-0.97
199809,1.06,-2.17
199909,1.36,-1.87
200009,4.61,1.38
200109,3.76,0.53
200209,3.75,0.52
200309,6.20,2.97
200409,0.72,-2.51
200509,4.10,0.87
200609,4.56,1.33
200709,2.53,-0.70
200809,3.86,0.63
200909,2.87,-0.36
201009,1.35,-1.88
201109,5.31,2.08
201209,5.17,1.94
201309,2.99,-0.24
201409,3.48,0.25
201509,2.39,-0.84
201609,3.66,0.43
201709,2.03,-1.20
201809,5.40,2.17
201909,2.26,-0.97
202009,1.53,-1.70
202109,4.14,0.91
