Massachusetts, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,3.31,-0.62
195103,4.83,0.90
195203,3.47,-0.46
195303,8.47,4.54
195403,3.66,-0.27
195503,4.28,0.35
195603,5.77,1.84
195703,2.66,-1.27
195803,3.49,-0.44
195903,4.97,1.04
196003,3.03,-0.90
196103,3.54,-0.39
196203,1.70,-2.23
196303,3.88,-0.05
196403,3.11,-0.82
196503,1.87,-2.06
196603,2.50,-1.43
196703,4.04,0.11
196803,6.55,2.62
196903,2.88,-1.05
197003,3.79,-0.14
197103,3.03,-0.90
197203,5.94,2.01
197303,3.19,-0.74
197403,4.38,0.45
197503,3.44,-0.49
197603,3.05,-0.88
197703,6.13,2.20
197803,2.85,-1.08
197903,3.49,-0.44
198003,6.64,2.71
198103,0.76,-3.17
198203,2.71,-1.22
198303,7.90,3.97
198403,5.66,1.73
198503,2.79,-1.14
198603,3.60,-0.33
198703,3.33,-0.60
198803,3.09,-0.84
198903,3.10,-0.83
199003,2.57,-1.36
199103,4.76,0.83
199203,3.89,-0.04
199303,6.59,2.66
199403,6.38,2.45
199503,2.49,-1.44
199603,2.95,-0.98
199703,4.37,0.44
199803,5.09,1.16
199903,4.89,0.96
200003,4.42,0.49
200103,8.75,4.82
200203,4.24,0.31
200303,4.42,0.49
200403,2.47,-1.46
200503,4.97,1.04
200603,0.66,-3.27
200703,5.16,1.23
200803,5.52,1.59
200903,3.02,-0.91
201003,10.53,6.60
201103,3.89,-0.04
201203,1.66,-2.27
201303,3.11,-0.82
201403,4.51,0.58
201503,2.84,-1.09
201603,3.04,-0.89
201703,3.21,-0.72
201803,4.45,0.52
201903,2.51,-1.42
202003,3.72,-0.21
202103,2.19,-1.74
