Louisiana, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,5.28,0.44
195104,2.94,-1.90
195204,6.80,1.96
195304,7.82,2.98
195404,3.15,-1.69
195504,6.64,1.80
195604,3.39,-1.45
195704,8.07,3.23
195804,5.71,0.87
195904,4.95,0.11
196004,3.26,-1.58
196104,2.73,-2.11
196204,5.00,0.16
196304,2.01,-2.83
196404,6.61,1.77
196504,0.81,-4.03
196604,7.52,2.68
196704,5.05,0.21
196804,6.25,1.41
196904,6.74,1.90
197004,2.70,-2.14
197104,1.37,-3.47
197204,2.25,-2.59
197304,9.30,4.46
197404,5.98,1.14
197504,5.57,0.73
197604,1.23,-3.61
197704,6.31,1.47
197804,2.34,-2.50
197904,8.92,4.08
198004,9.23,4.39
198104,1.43,-3.41
198204,5.92,1.08
198304,7.01,2.17
198404,3.02,-1.82
198504,2.30,-2.54
198604,3.06,-1.78
198704,0.96,-3.88
198804,4.39,-0.45
198904,1.86,-2.98
199004,3.34,-1.50
199104,13.15,8.31
199204,3.95,-0.89
199304,7.40,2.56
199404,4.62,-0.22
199504,8.43,3.59
199604,5.03,0.19
199704,7.79,2.95
199804,3.74,-1.10
199904,2.63,-2.21
200004,4.69,-0.15
200104,1.87,-2.97
200204,3.72,-1.12
200304,3.44,-1.40
200404,4.45,-0.39
200504,3.33,-1.51
200604,4.23,-0.61
200704,4.27,-0.57
200804,3.27,-1.57
200904,4.55,-0.29
201004,1.29,-3.55
201104,2.50,-2.34
201204,4.79,-0.05
201304,6.70,1.86
201404,4.49,-0.35
201504,8.19,3.35
201604,6.51,1.67
201704,5.58,0.74
201804,4.78,-0.06
201904,8.39,3.55
202004,6.34,1.50
202104,8.60,3.76
