Indiana, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,5.25,3.02
195102,3.49,1.26
195202,2.42,0.19
195302,1.39,-0.84
195402,2.45,0.22
195502,3.17,0.94
195602,4.20,1.97
195702,2.12,-0.11
195802,0.77,-1.46
195902,3.27,1.04
196002,3.10,0.87
196102,2.76,0.53
196202,3.04,0.81
196302,0.77,-1.46
196402,1.44,-0.79
196502,3.42,1.19
196602,2.41,0.18
196702,1.67,-0.56
196802,1.56,-0.67
196902,0.80,-1.43
197002,1.35,-0.88
197102,4.05,1.82
197202,1.32,-0.91
197302,1.19,-1.04
197402,2.04,-0.19
197502,3.46,1.23
197602,2.82,0.59
197702,1.96,-0.27
197802,0.48,-1.75
197902,2.30,0.07
198002,1.53,-0.70
198102,2.53,0.30
198202,1.80,-0.43
198302,0.97,-1.26
198402,1.84,-0.39
198502,3.60,1.37
198602,3.09,0.86
198702,0.88,-1.35
198802,3.11,0.88
198902,2.65,0.42
199002,5.28,3.05
199102,1.88,-0.35
199202,1.24,-0.99
199302,2.02,-0.21
199402,1.40,-0.83
199502,1.18,-1.05
199602,1.20,-1.03
199702,3.28,1.05
199802,1.82,-0.41
199902,3.41,1.18
200002,3.46,1.23
200102,2.86,0.63
200202,2.32,0.09
200302,2.74,0.51
200402,0.83,-1.40
200502,2.25,0.02
200602,1.62,-0.61
200702,2.43,0.20
200802,4.81,2.58
200902,2.80,0.57
201002,1.48,-0.75
201102,4.21,1.98
201202,1.54,-0.69
201302,2.21,-0.02
201402,2.64,0.41
201502,1.40,-0.83
201602,2.78,0.55
201702,1.35,-0.88
201802,5.91,3.68
201902,4.45,2.22
202002,2.81,0.58
202102,2.21,-0.02
