Michigan, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,1.86,-1.23
195105,2.49,-0.60
195205,3.00,-0.09
195305,3.07,-0.02
195405,2.36,-0.73
195505,2.80,-0.29
195605,4.24,1.15
195705,3.57,0.48
195805,1.61,-1.48
195905,3.21,0.12
196005,4.55,1.46
196105,1.90,-1.19
196205,2.95,-0.14
196305,3.10,0.01
196405,3.20,0.11
196505,3.02,-0.07
196605,1.67,-1.42
196705,2.04,-1.05
196805,3.59,0.50
196905,3.13,0.04
197005,3.80,0.71
197105,2.40,-0.69
197205,2.46,-0.63
197305,4.74,1.65
197405,3.75,0.66
197505,3.17,0.08
197605,3.51,0.42
197705,1.17,-1.92
197805,3.16,0.07
197905,2.49,-0.60
198005,2.20,-0.89
198105,2.78,-0.31
198205,2.62,-0.47
198305,5.24,2.15
198405,3.31,0.22
198505,2.97,-0.12
198605,2.26,-0.83
198705,2.32,-0.77
198805,1.10,-1.99
198905,3.86,0.77
199005,3.95,0.86
199105,3.83,0.74
199205,1.38,-1.71
199305,2.81,-0.28
199405,1.95,-1.14
199505,2.78,-0.31
199605,2.76,-0.33
199705,3.69,0.60
199805,2.11,-0.98
199905,3.13,0.04
200005,4.64,1.55
200105,4.71,1.62
200205,3.83,0.74
200305,3.99,0.90
200405,6.64,3.55
200505,2.05,-1.04
200605,4.63,1.54
200705,2.31,-0.78
200805,2.38,-0.71
200905,2.95,-0.14
201005,3.52,0.43
201105,4.26,1.17
201205,3.00,-0.09
201305,3.59,0.50
201405,3.53,0.44
201505,4.14,1.05
201605,2.63,-0.46
201705,3.36,0.27
201805,4.26,1.17
201905,4.73,1.64
202005,4.06,0.97
202105,2.03,-1.06
