Pennsylvania, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,3.87,1.27
195102,3.62,1.02
195202,2.36,-0.24
195302,2.12,-0.48
195402,2.01,-0.59
195502,2.87,0.27
195602,4.68,2.08
195702,2.17,-0.43
195802,2.57,-0.03
195902,2.57,-0.03
196002,3.67,1.07
196102,3.50,0.90
196202,3.55,0.95
196302,1.84,-0.76
196402,2.52,-0.08
196502,2.61,0.01
196602,3.17,0.57
196702,1.99,-0.61
196802,0.62,-1.98
196902,1.02,-1.58
197002,2.69,0.09
197102,4.63,2.03
197202,4.03,1.43
197302,2.46,-0.14
197402,1.72,-0.88
197502,3.61,1.01
197602,2.46,-0.14
197702,1.64,-0.96
197802,1.02,-1.58
197902,3.29,0.69
198002,1.09,-1.51
198102,5.24,2.64
198202,2.66,0.06
198302,2.00,-0.60
198402,3.85,1.25
198502,2.06,-0.54
198602,3.67,1.07
198702,0.74,-1.86
198802,2.99,0.39
198902,2.48,-0.12
199002,2.88,0.28
199102,1.72,-0.88
199202,1.86,-0.74
199302,2.23,-0.37
199402,2.87,0.27
199502,1.90,-0.70
199602,2.43,-0.17
199702,2.05,-0.55
199802,3.67,1.07
199902,1.90,-0.70
200002,2.82,0.22
200102,1.55,-1.05
200202,1.45,-1.15
200302,3.51,0.91
200402,2.26,-0.34
200502,2.31,-0.29
200602,1.79,-0.81
200702,2.24,-0.36
200802,5.21,2.61
200902,1.30,-1.30
201002,2.66,0.06
201102,3.73,1.13
201202,1.50,-1.10
201302,1.98,-0.62
201402,3.24,0.64
201502,1.52,-1.08
201602,3.94,1.34
201702,2.20,-0.40
201802,5.40,2.80
201902,3.45,0.85
202002,3.35,0.75
202102,3.02,0.42
