Texas, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,1.48,-0.01
195101,0.95,-0.54
195201,0.74,-0.75
195301,0.57,-0.92
195401,0.96,-0.53
195501,1.48,-0.01
195601,1.16,-0.33
195701,0.92,-0.57
195801,2.88,1.39
195901,0.45,-1.04
196001,1.94,0.45
196101,2.40,0.91
196201,0.97,-0.52
196301,0.50,-0.99
196401,1.58,0.09
196501,1.49,0.00
196601,1.68,0.19
196701,0.51,-0.98
196801,3.66,2.17
196901,0.71,-0.78
197001,0.84,-0.65
197101,0.16,-1.33
197201,1.40,-0.09
197301,2.58,1.09
197401,1.99,0.50
197501,1.18,-0.31
197601,0.48,-1.01
197701,1.59,0.10
197801,1.65,0.16
197901,2.46,0.97
198001,1.67,0.18
198101,1.18,-0.31
198201,0.99,-0.50
198301,1.51,0.02
198401,1.49,0.00
198501,1.49,0.00
198601,0.48,-1.01
198701,1.15,-0.34
198801,0.59,-0.90
198901,2.34,0.85
199001,2.23,0.74
199101,3.53,2.04
199201,3.15,1.66
199301,2.16,0.67
199401,1.48,-0.01
199501,1.61,0.12
199601,0.49,-1.00
199701,1.24,-0.25
199801,2.16,0.67
199901,1.72,0.23
200001,1.05,-0.44
200101,2.35,0.86
200201,0.96,-0.53
200301,0.58,-0.91
200401,2.17,0.68
200501,1.89,0.40
200601,1.06,-0.43
200701,3.55,2.06
200801,0.94,-0.55
200901,0.40,-1.09
201001,2.37,0.88
201101,1.55,0.06
201201,2.27,0.78
201301,2.46,0.97
201401,0.37,-1.12
201501,2.67,1.18
201601,0.95,-0.54
201701,2.28,0.79
201801,0.64,-0.85
201901,1.50,0.01
202001,1.96,0.47
202101,1.69,0.20
