South Carolina, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,5.36,1.12
195109,4.51,0.27
195209,3.63,-0.61
195309,6.35,2.11
195409,1.65,-2.59
195509,4.92,0.68
195609,5.86,1.62
195709,6.66,2.42
195809,2.00,-2.24
195909,8.85,4.61
196009,5.18,0.94
196109,1.94,-2.30
196209,4.93,0.69
196309,5.17,0.93
196409,3.40,-0.84
196509,2.85,-1.39
196609,3.95,-0.29
196709,2.47,-1.77
196809,1.73,-2.51
196909,4.84,0.60
197009,2.76,-1.48
197109,2.86,-1.38
197209,2.57,-1.67
197309,4.06,-0.18
197409,4.18,-0.06
197509,6.13,1.89
197609,4.99,0.75
197709,4.07,-0.17
197809,2.44,-1.80
197909,8.94,4.70
198009,6.06,1.82
198109,1.47,-2.77
198209,3.30,-0.94
198309,3.85,-0.39
198409,2.10,-2.14
198509,0.87,-3.37
198609,1.79,-2.45
198709,7.53,3.29
198809,6.28,2.04
198909,6.59,2.35
199009,1.82,-2.42
199109,1.80,-2.44
199209,3.92,-0.32
199309,4.23,-0.01
199409,4.27,0.03
199509,3.58,-0.66
199609,5.60,1.36
199709,5.63,1.39
199809,5.62,1.38
199909,6.83,2.59
200009,7.63,3.39
200109,3.72,-0.52
200209,5.40,1.16
200309,2.98,-1.26
200409,8.26,4.02
200509,0.65,-3.59
200609,4.55,0.31
200709,2.25,-1.99
200809,4.03,-0.21
200909,2.91,-1.33
201009,4.91,0.67
201109,4.27,0.03
201209,2.54,-1.70
201309,2.04,-2.20
201409,5.47,1.23
201509,4.35,0.11
201609,6.83,2.59
201709,4.83,0.59
201809,6.13,1.89
201909,2.19,-2.05
202009,6.62,2.38
202109,4.10,-0.14
