Kansas, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,1.38,-1.44
195109,5.04,2.22
195209,0.58,-2.24
195309,1.22,-1.60
195409,1.43,-1.39
195509,3.87,1.05
195609,0.29,-2.53
195709,3.82,1.00
195809,3.77,0.95
195909,3.58,0.76
196009,2.22,-0.60
196109,5.08,2.26
196209,4.54,1.72
196309,3.52,0.70
196409,2.24,-0.58
196509,5.70,2.88
196609,2.12,-0.70
196709,4.20,1.38
196809,1.51,-1.31
196909,3.13,0.31
197009,5.12,2.30
197109,2.21,-0.61
197209,2.59,-0.23
197309,8.32,5.50
197409,1.63,-1.19
197509,1.62,-1.20
197609,2.89,0.07
197709,3.39,0.57
197809,2.63,-0.19
197909,0.69,-2.13
198009,1.07,-1.75
198109,2.30,-0.52
198209,1.70,-1.12
198309,1.92,-0.90
198409,1.30,-1.52
198509,4.50,1.68
198609,5.11,2.29
198709,2.11,-0.71
198809,2.58,-0.24
198909,3.48,0.66
199009,1.76,-1.06
199109,1.47,-1.35
199209,2.08,-0.74
199309,3.75,0.93
199409,1.36,-1.46
199509,2.38,-0.44
199609,4.38,1.56
199709,2.89,0.07
199809,3.08,0.26
199909,3.28,0.46
200009,1.01,-1.81
200109,3.55,0.73
200209,1.50,-1.32
200309,2.51,-0.31
200409,2.15,-0.67
200509,1.58,-1.24
200609,1.90,-0.92
200709,2.02,-0.80
200809,3.97,1.15
200909,3.40,0.58
201009,3.14,0.32
201109,1.27,-1.55
201209,2.09,-0.73
201309,2.74,-0.08
201409,2.98,0.16
201509,1.58,-1.24
201609,4.11,1.29
201709,2.39,-0.43
201809,3.33,0.51
201909,2.02,-0.80
202009,1.65,-1.17
202109,2.77,-0.05
