South Carolina, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,1.39,-1.95
195104,3.08,-0.26
195204,3.15,-0.19
195304,1.95,-1.39
195404,2.84,-0.50
195504,4.57,1.23
195604,3.72,0.38
195704,2.45,-0.89
195804,6.75,3.41
195904,3.50,0.16
196004,2.83,-0.51
196104,6.75,3.41
196204,3.91,0.57
196304,3.22,-0.12
196404,4.91,1.57
196504,3.65,0.31
196604,2.73,-0.61
196704,2.33,-1.01
196804,2.97,-0.37
196904,4.64,1.30
197004,1.67,-1.67
197104,3.28,-0.06
197204,1.03,-2.31
197304,4.48,1.14
197404,2.94,-0.40
197504,3.46,0.12
197604,0.78,-2.56
197704,1.69,-1.65
197804,3.57,0.23
197904,5.50,2.16
198004,2.66,-0.68
198104,1.66,-1.68
198204,5.42,2.08
198304,4.50,1.16
198404,4.73,1.39
198504,1.24,-2.10
198604,0.78,-2.56
198704,1.72,-1.62
198804,3.73,0.39
198904,4.52,1.18
199004,1.67,-1.67
199104,4.50,1.16
199204,2.94,-0.40
199304,2.94,-0.40
199404,1.50,-1.84
199504,1.09,-2.25
199604,3.46,0.12
199704,4.79,1.45
199804,6.44,3.10
199904,3.95,0.61
200004,2.79,-0.55
200104,0.96,-2.38
200204,1.84,-1.50
200304,6.00,2.66
200404,2.02,-1.32
200504,2.74,-0.60
200604,2.56,-0.78
200704,2.54,-0.80
200804,3.19,-0.15
200904,3.40,0.06
201004,1.34,-2.00
201104,2.87,-0.47
201204,2.55,-0.79
201304,4.70,1.36
201404,4.24,0.90
201504,4.47,1.13
201604,2.40,-0.94
201704,5.51,2.17
201804,4.49,1.15
201904,3.99,0.65
202004,5.14,1.80
202104,1.67,-1.67
