Colorado, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,0.88,-0.64
195103,0.73,-0.79
195203,1.83,0.31
195303,1.39,-0.13
195403,1.48,-0.04
195503,0.75,-0.77
195603,0.73,-0.79
195703,1.59,0.07
195803,1.96,0.44
195903,1.40,-0.12
196003,1.43,-0.09
196103,2.32,0.80
196203,0.84,-0.68
196303,1.31,-0.21
196403,1.49,-0.03
196503,1.58,0.06
196603,0.39,-1.13
196703,0.75,-0.77
196803,0.83,-0.69
196903,0.98,-0.54
197003,2.03,0.51
197103,0.78,-0.74
197203,0.80,-0.72
197303,2.29,0.77
197403,1.47,-0.05
197503,2.01,0.49
197603,1.15,-0.37
197703,0.88,-0.64
197803,1.67,0.15
197903,2.43,0.91
198003,2.01,0.49
198103,2.40,0.88
198203,1.54,0.02
198303,2.80,1.28
198403,2.02,0.50
198503,1.92,0.40
198603,1.02,-0.50
198703,1.63,0.11
198803,1.14,-0.38
198903,0.91,-0.61
199003,1.99,0.47
199103,1.98,0.46
199203,2.18,0.66
199303,1.68,0.16
199403,1.03,-0.49
199503,2.13,0.61
199603,1.20,-0.32
199703,0.51,-1.01
199803,1.85,0.33
199903,0.72,-0.80
200003,2.55,1.03
200103,1.42,-0.10
200203,0.87,-0.65
200303,2.19,0.67
200403,0.61,-0.91
200503,1.40,-0.12
200603,1.62,0.10
200703,1.09,-0.43
200803,1.01,-0.51
200903,1.13,-0.39
201003,1.74,0.22
201103,1.16,-0.36
201203,0.45,-1.07
201303,1.07,-0.45
201403,1.15,-0.37
201503,0.86,-0.66
201603,1.28,-0.24
201703,1.19,-0.33
201803,0.90,-0.62
201903,2.79,1.27
202003,1.35,-0.17
202103,2.07,0.55
