South Carolina, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,4.01,0.40
195112,4.39,0.78
195212,3.21,-0.40
195312,6.99,3.38
195412,2.81,-0.80
195512,0.83,-2.78
195612,2.31,-1.30
195712,2.86,-0.75
195812,3.23,-0.38
195912,3.11,-0.50
196012,2.07,-1.54
196112,4.25,0.64
196212,2.52,-1.09
196312,2.98,-0.63
196412,4.50,0.89
196512,0.93,-2.68
196612,3.26,-0.35
196712,3.94,0.33
196812,3.22,-0.39
196912,3.85,0.24
197012,3.42,-0.19
197112,2.67,-0.94
197212,5.43,1.82
197312,5.55,1.94
197412,4.93,1.32
197512,4.20,0.59
197612,5.55,1.94
197712,4.62,1.01
197812,2.84,-0.77
197912,2.12,-1.49
198012,1.73,-1.88
198112,6.61,3.00
198212,5.00,1.39
198312,6.77,3.16
198412,1.51,-2.10
198512,1.97,-1.64
198612,3.96,0.35
198712,2.24,-1.37
198812,0.88,-2.73
198912,4.40,0.79
199012,2.57,-1.04
199112,2.65,-0.96
199212,3.48,-0.13
199312,2.86,-0.75
199412,5.61,2.00
199512,2.18,-1.43
199612,3.06,-0.55
199712,5.41,1.80
199812,3.59,-0.02
199912,2.29,-1.32
200012,1.87,-1.74
200112,1.47,-2.14
200212,4.63,1.02
200312,2.57,-1.04
200412,2.20,-1.41
200512,4.19,0.58
200612,3.71,0.10
200712,5.12,1.51
200812,2.96,-0.65
200912,8.05,4.44
201012,1.99,-1.62
201112,1.95,-1.66
201212,4.54,0.93
201312,5.26,1.65
201412,3.94,0.33
201512,6.70,3.09
201612,3.97,0.36
201712,3.56,-0.05
201812,7.98,4.37
201912,6.93,3.32
202012,2.83,-0.78
202112,3.10,-0.51
