Arizona, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,0.53,-0.61
195101,1.34,0.20
195201,1.71,0.57
195301,0.25,-0.89
195401,1.25,0.11
195501,1.91,0.77
195601,1.01,-0.13
195701,2.82,1.68
195801,0.25,-0.89
195901,0.25,-0.89
196001,1.55,0.41
196101,0.72,-0.42
196201,1.44,0.30
196301,0.64,-0.50
196401,0.34,-0.80
196501,1.47,0.33
196601,0.76,-0.38
196701,0.38,-0.76
196801,0.50,-0.64
196901,1.65,0.51
197001,0.22,-0.92
197101,0.17,-0.97
197201,0.02,-1.12
197301,0.73,-0.41
197401,1.76,0.62
197501,0.57,-0.57
197601,0.16,-0.98
197701,1.27,0.13
197801,2.92,1.78
197901,3.04,1.90
198001,2.75,1.61
198101,0.72,-0.42
198201,1.62,0.48
198301,1.28,0.14
198401,0.45,-0.69
198501,1.54,0.40
198601,0.21,-0.93
198701,1.03,-0.11
198801,1.16,0.02
198901,1.49,0.35
199001,0.96,-0.18
199101,1.12,-0.02
199201,1.32,0.18
199301,5.22,4.08
199401,0.23,-0.91
199501,2.43,1.29
199601,0.20,-0.94
199701,1.89,0.75
199801,0.55,-0.59
199901,0.14,-1.00
200001,0.28,-0.86
200101,1.70,0.56
200201,0.19,-0.95
200301,0.32,-0.82
200401,0.71,-0.43
200501,2.83,1.69
200601,0.13,-1.01
200701,0.79,-0.35
200801,1.99,0.85
200901,0.52,-0.62
201001,3.41,2.27
201101,0.05,-1.09
201201,0.26,-0.88
201301,1.30,0.16
201401,0.03,-1.11
201501,1.79,0.65
201601,1.40,0.26
201701,2.07,0.93
201801,0.56,-0.58
201901,1.50,0.36
202001,0.45,-0.69
202101,1.31,0.17
