Kansas, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,0.71,-0.18
195102,1.56,0.67
195202,0.60,-0.29
195302,0.66,-0.23
195402,0.80,-0.09
195502,1.29,0.40
195602,0.50,-0.39
195702,0.62,-0.27
195802,1.13,0.24
195902,0.64,-0.25
196002,2.03,1.14
196102,0.91,0.02
196202,0.68,-0.21
196302,0.06,-0.83
196402,0.73,-0.16
196502,0.90,0.01
196602,0.95,0.06
196702,0.12,-0.77
196802,0.28,-0.61
196902,1.20,0.31
197002,0.10,-0.79
197102,1.86,0.97
197202,0.22,-0.67
197302,0.91,0.02
197402,0.47,-0.42
197502,1.22,0.33
197602,0.41,-0.48
197702,0.26,-0.63
197802,1.28,0.39
197902,0.34,-0.55
198002,1.07,0.18
198102,0.27,-0.62
198202,0.82,-0.07
198302,1.30,0.41
198402,0.97,0.08
198502,1.61,0.72
198602,0.80,-0.09
198702,1.74,0.85
198802,0.32,-0.57
198902,0.47,-0.42
199002,1.50,0.61
199102,0.04,-0.85
199202,0.93,0.04
199302,1.93,1.04
199402,0.71,-0.18
199502,0.30,-0.59
199602,0.12,-0.77
199702,2.13,1.24
199802,0.96,0.07
199902,0.49,-0.40
200002,1.61,0.72
200102,2.46,1.57
200202,0.42,-0.47
200302,1.15,0.26
200402,0.86,-0.03
200502,1.59,0.70
200602,0.01,-0.88
200702,0.88,-0.01
200802,1.38,0.49
200902,0.51,-0.38
201002,0.86,-0.03
201102,1.09,0.20
201202,1.81,0.92
201302,1.63,0.74
201402,0.75,-0.14
201502,0.83,-0.06
201602,0.55,-0.34
201702,0.24,-0.65
201802,0.60,-0.29
201902,1.02,0.13
202002,1.29,0.40
202102,0.22,-0.67
