New York, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,4.12,1.23
195101,2.88,-0.01
195201,3.35,0.46
195301,3.52,0.63
195401,2.84,-0.05
195501,1.16,-1.73
195601,2.00,-0.89
195701,2.39,-0.50
195801,4.04,1.15
195901,3.89,1.00
196001,2.85,-0.04
196101,1.66,-1.23
196201,3.02,0.13
196301,2.19,-0.70
196401,3.25,0.36
196501,2.82,-0.07
196601,3.00,0.11
196701,1.60,-1.29
196801,1.99,-0.90
196901,2.38,-0.51
197001,1.24,-1.65
197101,2.05,-0.84
197201,2.13,-0.76
197301,2.76,-0.13
197401,2.78,-0.11
197501,3.23,0.34
197601,4.07,1.18
197701,2.02,-0.87
197801,6.08,3.19
197901,6.31,3.42
198001,1.27,-1.62
198101,0.88,-2.01
198201,3.14,0.25
198301,2.47,-0.42
198401,1.61,-1.28
198501,1.86,-1.03
198601,3.06,0.17
198701,3.38,0.49
198801,1.63,-1.26
198901,1.63,-1.26
199001,3.70,0.81
199101,2.52,-0.37
199201,2.08,-0.81
199301,3.02,0.13
199401,3.88,0.99
199501,3.09,0.20
199601,4.55,1.66
199701,2.70,-0.19
199801,5.24,2.35
199901,5.58,2.69
200001,3.30,0.41
200101,1.61,-1.28
200201,2.19,-0.70
200301,2.51,-0.38
200401,2.24,-0.65
200501,3.90,1.01
200601,4.07,1.18
200701,3.97,1.08
200801,2.06,-0.83
200901,2.53,-0.36
201001,2.41,-0.48
201101,2.01,-0.88
201201,3.29,0.40
201301,2.12,-0.77
201401,2.60,-0.29
201501,2.34,-0.55
201601,1.73,-1.16
201701,3.40,0.51
201801,3.45,0.56
201901,4.43,1.54
202001,2.78,-0.11
202101,2.08,-0.81
