Connecticut, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,4.23,0.30
195105,4.10,0.17
195205,4.63,0.70
195305,4.38,0.45
195405,4.21,0.28
195505,1.62,-2.31
195605,2.36,-1.57
195705,2.48,-1.45
195805,3.99,0.06
195905,1.39,-2.54
196005,3.60,-0.33
196105,5.06,1.13
196205,1.57,-2.36
196305,3.40,-0.53
196405,1.26,-2.67
196505,1.86,-2.07
196605,3.72,-0.21
196705,5.57,1.64
196805,5.37,1.44
196905,3.67,-0.26
197005,3.81,-0.12
197105,4.20,0.27
197205,5.58,1.65
197305,5.56,1.63
197405,3.58,-0.35
197505,3.50,-0.43
197605,4.61,0.68
197705,3.16,-0.77
197805,5.95,2.02
197905,5.48,1.55
198005,2.07,-1.86
198105,3.37,-0.56
198205,2.83,-1.10
198305,5.35,1.42
198405,10.23,6.30
198505,4.50,0.57
198605,1.43,-2.50
198705,2.15,-1.78
198805,3.61,-0.32
198905,9.51,5.58
199005,7.51,3.58
199105,4.88,0.95
199205,1.75,-2.18
199305,0.97,-2.96
199405,3.60,-0.33
199505,3.21,-0.72
199605,3.57,-0.36
199705,3.38,-0.55
199805,5.86,1.93
199905,4.33,0.40
200005,4.49,0.56
200105,4.11,0.18
200205,5.21,1.28
200305,4.72,0.79
200405,3.59,-0.34
200505,2.59,-1.34
200605,7.17,3.24
200705,1.88,-2.05
200805,2.66,-1.27
200905,3.91,-0.02
201005,2.94,-0.99
201105,4.87,0.94
201205,3.94,0.01
201305,4.47,0.54
201405,4.79,0.86
201505,1.21,-2.72
201605,3.33,-0.60
201705,5.35,1.42
201805,2.67,-1.26
201905,4.82,0.89
202005,2.69,-1.24
202105,5.51,1.58
