Alabama, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,4.92,-0.26
195101,3.96,-1.22
195201,3.96,-1.22
195301,5.47,0.29
195401,4.20,-0.98
195501,4.43,-0.75
195601,2.68,-2.50
195701,4.59,-0.59
195801,3.31,-1.87
195901,4.53,-0.65
196001,5.88,0.70
196101,3.31,-1.87
196201,7.03,1.85
196301,6.25,1.07
196401,6.80,1.62
196501,4.21,-0.97
196601,5.96,0.78
196701,3.73,-1.45
196801,4.62,-0.56
196901,3.59,-1.59
197001,3.19,-1.99
197101,4.08,-1.10
197201,8.52,3.34
197301,5.90,0.72
197401,8.20,3.02
197501,6.65,1.47
197601,4.46,-0.72
197701,4.95,-0.23
197801,7.09,1.91
197901,7.68,2.50
198001,5.50,0.32
198101,1.33,-3.85
198201,6.50,1.32
198301,4.34,-0.84
198401,4.05,-1.13
198501,3.90,-1.28
198601,2.13,-3.05
198701,6.09,0.91
198801,5.38,0.20
198901,4.49,-0.69
199001,8.44,3.26
199101,7.33,2.15
199201,6.12,0.94
199301,6.21,1.03
199401,5.31,0.13
199501,4.83,-0.35
199601,7.40,2.22
199701,6.47,1.29
199801,8.14,2.96
199901,7.94,2.76
200001,4.69,-0.49
200101,4.69,-0.49
200201,5.11,-0.07
200301,2.33,-2.85
200401,3.27,-1.91
200501,2.86,-2.32
200601,5.23,0.05
200701,4.34,-0.84
200801,4.09,-1.09
200901,4.42,-0.76
201001,6.21,1.03
201101,4.03,-1.15
201201,5.44,0.26
201301,6.27,1.09
201401,2.70,-2.48
201501,4.34,-0.84
201601,4.06,-1.12
201701,9.17,3.99
201801,2.32,-2.86
201901,6.01,0.83
202001,7.44,2.26
202101,3.72,-1.46
