South Carolina, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,1.95,-1.88
195101,1.36,-2.47
195201,2.36,-1.47
195301,3.27,-0.56
195401,3.23,-0.60
195501,4.23,0.40
195601,1.74,-2.09
195701,2.47,-1.36
195801,4.23,0.40
195901,3.21,-0.62
196001,5.94,2.11
196101,2.69,-1.14
196201,5.34,1.51
196301,4.80,0.97
196401,7.03,3.20
196501,1.64,-2.19
196601,5.99,2.16
196701,4.08,0.25
196801,4.18,0.35
196901,2.78,-1.05
197001,2.74,-1.09
197101,4.45,0.62
197201,5.71,1.88
197301,4.73,0.90
197401,4.64,0.81
197501,5.52,1.69
197601,3.45,-0.38
197701,3.28,-0.55
197801,6.41,2.58
197901,5.22,1.39
198001,4.86,1.03
198101,0.78,-3.05
198201,5.30,1.47
198301,4.50,0.67
198401,4.35,0.52
198501,3.18,-0.65
198601,1.69,-2.14
198701,6.80,2.97
198801,3.84,0.01
198901,2.21,-1.62
199001,3.64,-0.19
199101,6.72,2.89
199201,3.78,-0.05
199301,7.12,3.29
199401,4.63,0.80
199501,5.72,1.89
199601,3.87,0.04
199701,4.24,0.41
199801,7.41,3.58
199901,5.37,1.54
200001,5.80,1.97
200101,2.02,-1.81
200201,3.49,-0.34
200301,1.76,-2.07
200401,1.77,-2.06
200501,2.02,-1.81
200601,3.29,-0.54
200701,3.66,-0.17
200801,2.88,-0.95
200901,2.05,-1.78
201001,4.92,1.09
201101,1.87,-1.96
201201,2.19,-1.64
201301,2.48,-1.35
201401,3.15,-0.68
201501,3.56,-0.27
201601,2.83,-1.00
201701,4.88,1.05
201801,2.82,-1.01
201901,3.60,-0.23
202001,4.12,0.29
202101,4.67,0.84
