Massachusetts, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,3.12,-0.78
195104,3.22,-0.68
195204,4.50,0.60
195304,5.66,1.76
195404,4.51,0.61
195504,4.06,0.16
195604,3.68,-0.22
195704,3.42,-0.48
195804,6.24,2.34
195904,3.93,0.03
196004,4.27,0.37
196104,5.27,1.37
196204,4.08,0.18
196304,1.35,-2.55
196404,4.08,0.18
196504,2.76,-1.14
196604,1.20,-2.70
196704,4.59,0.69
196804,2.33,-1.57
196904,4.82,0.92
197004,3.81,-0.09
197104,2.49,-1.41
197204,3.94,0.04
197304,6.37,2.47
197404,3.35,-0.55
197504,2.83,-1.07
197604,2.89,-1.01
197704,4.29,0.39
197804,2.10,-1.80
197904,4.99,1.09
198004,4.93,1.03
198104,3.74,-0.16
198204,4.43,0.53
198304,8.36,4.46
198404,4.51,0.61
198504,1.70,-2.20
198604,1.91,-1.99
198704,9.41,5.51
198804,2.90,-1.00
198904,4.36,0.46
199004,4.57,0.67
199104,3.51,-0.39
199204,2.90,-1.00
199304,5.04,1.14
199404,2.86,-1.04
199504,2.31,-1.59
199604,6.83,2.93
199704,5.15,1.25
199804,3.67,-0.23
199904,1.12,-2.78
200004,5.87,1.97
200104,1.75,-2.15
200204,3.77,-0.13
200304,4.09,0.19
200404,7.32,3.42
200504,4.86,0.96
200604,2.95,-0.95
200704,7.60,3.70
200804,3.91,0.01
200904,4.16,0.26
201004,1.60,-2.30
201104,5.36,1.46
201204,2.90,-1.00
201304,2.21,-1.69
201404,3.87,-0.03
201504,2.55,-1.35
201604,2.94,-0.96
201704,5.51,1.61
201804,4.99,1.09
201904,6.76,2.86
202004,5.36,1.46
202104,4.34,0.44
