Kansas, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,0.26,-0.41
195101,0.75,0.08
195201,0.32,-0.35
195301,0.19,-0.48
195401,0.12,-0.55
195501,0.83,0.16
195601,0.65,-0.02
195701,0.35,-0.32
195801,0.85,0.18
195901,0.68,0.01
196001,1.42,0.75
196101,0.06,-0.61
196201,0.91,0.24
196301,0.58,-0.09
196401,0.27,-0.40
196501,0.98,0.31
196601,0.35,-0.32
196701,0.60,-0.07
196801,0.25,-0.42
196901,0.47,-0.20
197001,0.18,-0.49
197101,0.95,0.28
197201,0.23,-0.44
197301,1.55,0.88
197401,0.56,-0.11
197501,1.00,0.33
197601,0.15,-0.52
197701,0.65,-0.02
197801,0.36,-0.31
197901,1.72,1.05
198001,1.14,0.47
198101,0.21,-0.46
198201,0.89,0.22
198301,0.66,-0.01
198401,0.40,-0.27
198501,1.10,0.43
198601,0.00,-0.67
198701,0.81,0.14
198801,0.81,0.14
198901,0.66,-0.01
199001,1.25,0.58
199101,0.52,-0.15
199201,1.10,0.43
199301,1.48,0.81
199401,0.60,-0.07
199501,0.92,0.25
199601,0.43,-0.24
199701,0.22,-0.45
199801,0.60,-0.07
199901,1.35,0.68
200001,0.42,-0.25
200101,1.31,0.64
200201,1.06,0.39
200301,0.18,-0.49
200401,0.83,0.16
200501,1.77,1.10
200601,0.30,-0.37
200701,0.89,0.22
200801,0.40,-0.27
200901,0.08,-0.59
201001,0.48,-0.19
201101,0.46,-0.21
201201,0.07,-0.60
201301,0.84,0.17
201401,0.24,-0.43
201501,0.37,-0.30
201601,0.48,-0.19
201701,1.56,0.89
201801,0.39,-0.28
201901,1.03,0.36
202001,1.33,0.66
202101,1.38,0.71
