Alabama, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,3.48,-1.33
195104,5.02,0.21
195204,2.95,-1.86
195304,7.72,2.91
195404,3.57,-1.24
195504,7.39,2.58
195604,4.62,-0.19
195704,7.15,2.34
195804,5.12,0.31
195904,4.10,-0.71
196004,3.86,-0.95
196104,4.95,0.14
196204,6.11,1.30
196304,4.10,-0.71
196404,11.50,6.69
196504,2.54,-2.27
196604,4.46,-0.35
196704,2.31,-2.50
196804,5.05,0.24
196904,5.43,0.62
197004,4.74,-0.07
197104,4.04,-0.77
197204,2.39,-2.42
197304,6.87,2.06
197404,5.90,1.09
197504,6.77,1.96
197604,1.68,-3.13
197704,4.32,-0.49
197804,3.83,-0.98
197904,10.89,6.08
198004,7.65,2.84
198104,2.95,-1.86
198204,7.57,2.76
198304,9.44,4.63
198404,5.42,0.61
198504,2.93,-1.88
198604,0.72,-4.09
198704,0.92,-3.89
198804,3.99,-0.82
198904,4.43,-0.38
199004,3.39,-1.42
199104,6.85,2.04
199204,2.91,-1.90
199304,3.26,-1.55
199404,4.40,-0.41
199504,5.07,0.26
199604,4.65,-0.16
199704,6.03,1.22
199804,5.39,0.58
199904,2.57,-2.24
200004,4.83,0.02
200104,3.88,-0.93
200204,2.19,-2.62
200304,6.41,1.60
200404,3.37,-1.44
200504,7.60,2.79
200604,3.07,-1.74
200704,3.91,-0.90
200804,4.53,-0.28
200904,4.45,-0.36
201004,2.82,-1.99
201104,5.08,0.27
201204,1.89,-2.92
201304,5.71,0.90
201404,9.67,4.86
201504,7.14,2.33
201604,5.68,0.87
201704,4.09,-0.72
201804,5.94,1.13
201904,6.24,1.43
202004,7.10,2.29
202104,5.55,0.74
