Kansas, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,0.06,-0.79
195112,0.27,-0.58
195212,0.85,0.00
195312,1.29,0.44
195412,0.51,-0.34
195512,0.22,-0.63
195612,0.46,-0.39
195712,0.53,-0.32
195812,0.49,-0.36
195912,0.87,0.02
196012,1.19,0.34
196112,0.77,-0.08
196212,0.45,-0.40
196312,0.34,-0.51
196412,0.76,-0.09
196512,1.68,0.83
196612,0.81,-0.04
196712,0.96,0.11
196812,1.18,0.33
196912,0.77,-0.08
197012,0.41,-0.44
197112,1.14,0.29
197212,1.10,0.25
197312,2.12,1.27
197412,0.96,0.11
197512,0.53,-0.32
197612,0.05,-0.80
197712,0.26,-0.59
197812,0.46,-0.39
197912,0.63,-0.22
198012,1.38,0.53
198112,0.40,-0.45
198212,1.89,1.04
198312,0.84,-0.01
198412,2.63,1.78
198512,0.65,-0.20
198612,0.95,0.10
198712,1.30,0.45
198812,0.41,-0.44
198912,0.31,-0.54
199012,0.60,-0.25
199112,1.81,0.96
199212,1.70,0.85
199312,0.75,-0.10
199412,0.98,0.13
199512,0.65,-0.20
199612,0.16,-0.69
199712,2.09,1.24
199812,0.58,-0.27
199912,1.21,0.36
200012,0.49,-0.36
200112,0.27,-0.58
200212,0.47,-0.38
200312,1.15,0.30
200412,0.30,-0.55
200512,0.42,-0.43
200612,2.67,1.82
200712,2.48,1.63
200812,0.65,-0.20
200912,0.98,0.13
201012,0.20,-0.65
201112,2.26,1.41
201212,0.55,-0.30
201312,0.39,-0.46
201412,1.34,0.49
201512,2.36,1.51
201612,0.69,-0.16
201712,0.11,-0.74
201812,2.19,1.34
201912,1.28,0.43
202012,0.93,0.08
202112,0.20,-0.65
