Indiana, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,2.27,-0.58
195112,4.64,1.79
195212,2.58,-0.27
195312,1.85,-1.00
195412,2.75,-0.10
195512,0.58,-2.27
195612,3.04,0.19
195712,5.67,2.82
195812,0.55,-2.30
195912,2.82,-0.03
196012,1.63,-1.22
196112,2.69,-0.16
196212,1.17,-1.68
196312,0.92,-1.93
196412,2.94,0.09
196512,2.46,-0.39
196612,4.97,2.12
196712,5.94,3.09
196812,3.84,0.99
196912,1.92,-0.93
197012,1.84,-1.01
197112,4.69,1.84
197212,3.84,0.99
197312,3.83,0.98
197412,2.78,-0.07
197512,3.49,0.64
197612,0.58,-2.27
197712,3.79,0.94
197812,3.90,1.05
197912,2.49,-0.36
198012,1.53,-1.32
198112,2.82,-0.03
198212,5.49,2.64
198312,3.74,0.89
198412,3.94,1.09
198512,2.37,-0.48
198612,1.94,-0.91
198712,4.54,1.69
198812,2.54,-0.31
198912,1.48,-1.37
199012,7.02,4.17
199112,2.43,-0.42
199212,2.04,-0.81
199312,2.12,-0.73
199412,2.44,-0.41
199512,2.02,-0.83
199612,3.45,0.60
199712,2.00,-0.85
199812,2.04,-0.81
199912,3.18,0.33
200012,3.01,0.16
200112,3.62,0.77
200212,2.86,0.01
200312,2.68,-0.17
200412,2.57,-0.28
200512,2.15,-0.70
200612,4.83,1.98
200712,5.06,2.21
200812,5.02,2.17
200912,3.10,0.25
201012,1.44,-1.41
201112,4.58,1.73
201212,3.21,0.36
201312,4.39,1.54
201412,2.59,-0.26
201512,5.44,2.59
201612,2.36,-0.49
201712,1.33,-1.52
201812,3.35,0.50
201912,3.26,0.41
202012,1.80,-1.05
202112,4.02,1.17
