Arizona, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,0.91,-0.24
195102,0.46,-0.69
195202,0.34,-0.81
195302,0.56,-0.59
195402,0.55,-0.60
195502,0.49,-0.66
195602,0.58,-0.57
195702,0.63,-0.52
195802,1.70,0.55
195902,1.31,0.16
196002,0.79,-0.36
196102,0.14,-1.01
196202,1.25,0.10
196302,1.18,0.03
196402,0.14,-1.01
196502,1.28,0.13
196602,1.25,0.10
196702,0.08,-1.07
196802,0.94,-0.21
196902,1.18,0.03
197002,0.42,-0.73
197102,0.70,-0.45
197202,0.01,-1.14
197302,2.02,0.87
197402,0.14,-1.01
197502,0.72,-0.43
197602,1.89,0.74
197702,0.21,-0.94
197802,2.31,1.16
197902,0.72,-0.43
198002,3.52,2.37
198102,0.76,-0.39
198202,1.36,0.21
198302,1.42,0.27
198402,0.09,-1.06
198502,0.97,-0.18
198602,1.35,0.20
198702,1.51,0.36
198802,0.89,-0.26
198902,0.34,-0.81
199002,1.07,-0.08
199102,0.89,-0.26
199202,1.93,0.78
199302,3.17,2.02
199402,1.24,0.09
199502,1.47,0.32
199602,1.08,-0.07
199702,0.91,-0.24
199802,3.06,1.91
199902,0.36,-0.79
200002,0.59,-0.56
200102,1.00,-0.15
200202,0.10,-1.05
200302,2.44,1.29
200402,1.07,-0.08
200502,3.35,2.20
200602,0.04,-1.11
200702,0.56,-0.59
200802,1.19,0.04
200902,1.02,-0.13
201002,1.44,0.29
201102,1.05,-0.10
201202,0.43,-0.72
201302,0.51,-0.64
201402,0.16,-0.99
201502,0.64,-0.51
201602,0.29,-0.86
201702,1.26,0.11
201802,1.07,-0.08
201902,2.74,1.59
202002,1.10,-0.05
202102,0.23,-0.92
