Montana, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,1.77,0.31
195109,1.69,0.23
195209,0.62,-0.84
195309,0.69,-0.77
195409,1.72,0.26
195509,0.78,-0.68
195609,0.66,-0.80
195709,1.08,-0.38
195809,0.83,-0.63
195909,2.42,0.96
196009,0.41,-1.05
196109,2.80,1.34
196209,0.93,-0.53
196309,1.53,0.07
196409,0.68,-0.78
196509,2.38,0.92
196609,0.82,-0.64
196709,1.89,0.43
196809,2.33,0.87
196909,0.75,-0.71
197009,1.68,0.22
197109,1.37,-0.09
197209,1.26,-0.20
197309,2.27,0.81
197409,0.81,-0.65
197509,0.69,-0.77
197609,1.16,-0.30
197709,2.43,0.97
197809,3.21,1.75
197909,0.37,-1.09
198009,1.50,0.04
198109,0.75,-0.71
198209,2.11,0.65
198309,1.64,0.18
198409,1.61,0.15
198509,3.09,1.63
198609,3.94,2.48
198709,0.73,-0.73
198809,1.67,0.21
198909,0.84,-0.62
199009,0.22,-1.24
199109,1.73,0.27
199209,1.11,-0.35
199309,1.03,-0.43
199409,0.65,-0.81
199509,1.25,-0.21
199609,1.82,0.36
199709,1.00,-0.46
199809,1.02,-0.44
199909,1.07,-0.39
200009,1.54,0.08
200109,0.92,-0.54
200209,1.37,-0.09
200309,1.08,-0.38
200409,1.53,0.07
200509,1.30,-0.16
200609,1.92,0.46
200709,1.46,0.00
200809,1.62,0.16
200909,0.55,-0.91
201009,1.87,0.41
201109,0.47,-0.99
201209,0.17,-1.29
201309,2.53,1.07
201409,1.20,-0.26
201509,1.29,-0.17
201609,2.47,1.01
201709,2.10,0.64
201809,1.09,-0.37
201909,3.58,2.12
202009,0.94,-0.52
202109,0.44,-1.02
