Colorado, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,0.91,-0.17
195112,2.78,1.70
195212,0.80,-0.28
195312,0.90,-0.18
195412,0.79,-0.29
195512,0.87,-0.21
195612,1.00,-0.08
195712,0.69,-0.39
195812,0.81,-0.27
195912,0.84,-0.24
196012,1.24,0.16
196112,0.92,-0.16
196212,0.66,-0.42
196312,0.64,-0.44
196412,1.76,0.68
196512,1.52,0.44
196612,1.86,0.78
196712,2.14,1.06
196812,0.96,-0.12
196912,1.02,-0.06
197012,0.69,-0.39
197112,1.40,0.32
197212,1.67,0.59
197312,1.61,0.53
197412,1.00,-0.08
197512,0.59,-0.49
197612,0.18,-0.90
197712,0.97,-0.11
197812,2.17,1.09
197912,0.95,-0.13
198012,0.40,-0.68
198112,1.33,0.25
198212,1.18,0.10
198312,2.45,1.37
198412,1.41,0.33
198512,0.89,-0.19
198612,0.59,-0.49
198712,1.36,0.28
198812,1.14,0.06
198912,0.71,-0.37
199012,0.95,-0.13
199112,0.82,-0.26
199212,1.09,0.01
199312,0.60,-0.48
199412,0.69,-0.39
199512,0.65,-0.43
199612,1.21,0.13
199712,0.86,-0.22
199812,0.63,-0.45
199912,0.73,-0.35
200012,0.82,-0.26
200112,0.65,-0.43
200212,0.64,-0.44
200312,0.91,-0.17
200412,0.77,-0.31
200512,1.01,-0.07
200612,1.51,0.43
200712,2.58,1.50
200812,1.83,0.75
200912,1.30,0.22
201012,1.65,0.57
201112,0.91,-0.17
201212,1.31,0.23
201312,0.82,-0.26
201412,1.31,0.23
201512,1.47,0.39
201612,1.65,0.57
201712,0.40,-0.68
201812,0.75,-0.33
201912,1.27,0.19
202012,0.96,-0.12
202112,1.72,0.64
