New Hampshire, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,2.94,-0.62
195104,4.64,1.08
195204,4.02,0.46
195304,4.67,1.11
195404,4.76,1.20
195504,2.74,-0.82
195604,3.40,-0.16
195704,2.24,-1.32
195804,4.18,0.62
195904,2.57,-0.99
196004,4.47,0.91
196104,4.72,1.16
196204,3.93,0.37
196304,2.25,-1.31
196404,3.03,-0.53
196504,2.39,-1.17
196604,1.25,-2.31
196704,4.18,0.62
196804,3.37,-0.19
196904,3.96,0.40
197004,3.72,0.16
197104,2.04,-1.52
197204,2.91,-0.65
197304,5.42,1.86
197404,3.87,0.31
197504,3.04,-0.52
197604,2.99,-0.57
197704,4.21,0.65
197804,2.82,-0.74
197904,3.91,0.35
198004,4.27,0.71
198104,3.51,-0.05
198204,3.78,0.22
198304,5.92,2.36
198404,3.95,0.39
198504,1.89,-1.67
198604,1.95,-1.61
198704,6.45,2.89
198804,4.42,0.86
198904,3.54,-0.02
199004,3.70,0.14
199104,3.45,-0.11
199204,2.52,-1.04
199304,4.19,0.63
199404,3.43,-0.13
199504,2.01,-1.55
199604,7.03,3.47
199704,4.30,0.74
199804,2.57,-0.99
199904,0.78,-2.78
200004,6.40,2.84
200104,1.09,-2.47
200204,4.53,0.97
200304,2.98,-0.58
200404,5.60,2.04
200504,5.61,2.05
200604,2.98,-0.58
200704,7.32,3.76
200804,3.92,0.36
200904,3.50,-0.06
201004,2.82,-0.74
201104,5.42,1.86
201204,3.24,-0.32
201304,2.44,-1.12
201404,3.03,-0.53
201504,2.80,-0.76
201604,2.53,-1.03
201704,4.48,0.92
201804,4.66,1.10
201904,5.73,2.17
202004,4.79,1.23
202104,3.94,0.38
