Connecticut, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,3.02,-1.11
195104,3.45,-0.68
195204,5.99,1.86
195304,5.86,1.73
195404,4.51,0.38
195504,4.27,0.14
195604,3.84,-0.29
195704,4.51,0.38
195804,6.34,2.21
195904,4.15,0.02
196004,3.50,-0.63
196104,5.72,1.59
196204,3.67,-0.46
196304,1.38,-2.75
196404,4.93,0.80
196504,2.84,-1.29
196604,1.41,-2.72
196704,3.90,-0.23
196804,2.62,-1.51
196904,5.40,1.27
197004,4.09,-0.04
197104,2.37,-1.76
197204,3.78,-0.35
197304,6.57,2.44
197404,3.46,-0.67
197504,3.02,-1.11
197604,3.33,-0.80
197704,4.36,0.23
197804,2.07,-2.06
197904,5.63,1.50
198004,6.39,2.26
198104,3.75,-0.38
198204,5.10,0.97
198304,11.02,6.89
198404,5.39,1.26
198504,1.65,-2.48
198604,1.88,-2.25
198704,8.32,4.19
198804,2.33,-1.80
198904,4.17,0.04
199004,4.88,0.75
199104,3.05,-1.08
199204,2.76,-1.37
199304,4.88,0.75
199404,2.61,-1.52
199504,2.68,-1.45
199604,7.14,3.01
199704,4.44,0.31
199804,4.49,0.36
199904,1.35,-2.78
200004,5.02,0.89
200104,1.59,-2.54
200204,3.75,-0.38
200304,3.28,-0.85
200404,7.02,2.89
200504,5.50,1.37
200604,4.84,0.71
200704,8.57,4.44
200804,3.58,-0.55
200904,3.95,-0.18
201004,1.70,-2.43
201104,5.52,1.39
201204,3.00,-1.13
201304,1.49,-2.64
201404,4.38,0.25
201504,2.74,-1.39
201604,2.86,-1.27
201704,4.71,0.58
201804,5.39,1.26
201904,7.32,3.19
202004,5.19,1.06
202104,3.03,-1.10
