North Carolina, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,1.43,-2.11
195104,3.83,0.29
195204,3.00,-0.54
195304,2.75,-0.79
195404,2.98,-0.56
195504,3.68,0.14
195604,4.03,0.49
195704,3.36,-0.18
195804,5.63,2.09
195904,5.65,2.11
196004,3.17,-0.37
196104,4.67,1.13
196204,4.19,0.65
196304,2.50,-1.04
196404,4.40,0.86
196504,3.03,-0.51
196604,2.65,-0.89
196704,2.14,-1.40
196804,3.17,-0.37
196904,3.77,0.23
197004,3.36,-0.18
197104,3.12,-0.42
197204,2.49,-1.05
197304,5.56,2.02
197404,3.60,0.06
197504,2.49,-1.05
197604,0.73,-2.81
197704,2.78,-0.76
197804,4.63,1.09
197904,4.70,1.16
198004,3.42,-0.12
198104,1.49,-2.05
198204,3.76,0.22
198304,5.27,1.73
198404,4.42,0.88
198504,1.46,-2.08
198604,0.98,-2.56
198704,4.78,1.24
198804,3.51,-0.03
198904,5.00,1.46
199004,2.75,-0.79
199104,4.16,0.62
199204,3.33,-0.21
199304,4.38,0.84
199404,2.17,-1.37
199504,1.07,-2.47
199604,3.26,-0.28
199704,4.86,1.32
199804,5.60,2.06
199904,3.68,0.14
200004,4.97,1.43
200104,1.68,-1.86
200204,1.88,-1.66
200304,6.42,2.88
200404,3.02,-0.52
200504,3.33,-0.21
200604,3.71,0.17
200704,3.25,-0.29
200804,4.98,1.44
200904,2.51,-1.03
201004,1.56,-1.98
201104,3.63,0.09
201204,3.22,-0.32
201304,4.68,1.14
201404,4.91,1.37
201504,4.35,0.81
201604,2.78,-0.76
201704,6.50,2.96
201804,5.16,1.62
201904,5.19,1.65
202004,5.32,1.78
202104,1.95,-1.59
