North Carolina, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,5.09,0.52
195106,5.73,1.16
195206,3.07,-1.50
195306,5.65,1.08
195406,2.22,-2.35
195506,3.69,-0.88
195606,3.44,-1.13
195706,6.06,1.49
195806,4.35,-0.22
195906,3.00,-1.57
196006,3.66,-0.91
196106,7.03,2.46
196206,7.91,3.34
196306,3.56,-1.01
196406,3.54,-1.03
196506,6.77,2.20
196606,3.45,-1.12
196706,3.71,-0.86
196806,3.63,-0.94
196906,6.28,1.71
197006,3.36,-1.21
197106,3.56,-1.01
197206,5.15,0.58
197306,5.72,1.15
197406,4.20,-0.37
197506,3.29,-1.28
197606,5.99,1.42
197706,3.66,-0.91
197806,4.11,-0.46
197906,4.88,0.31
198006,3.73,-0.84
198106,4.06,-0.51
198206,6.26,1.69
198306,4.06,-0.51
198406,2.99,-1.58
198506,3.82,-0.75
198606,2.55,-2.02
198706,4.20,-0.37
198806,3.31,-1.26
198906,7.11,2.54
199006,1.41,-3.16
199106,3.96,-0.61
199206,5.80,1.23
199306,2.50,-2.07
199406,5.23,0.66
199506,9.74,5.17
199606,4.03,-0.54
199706,3.91,-0.66
199806,3.58,-0.99
199906,3.80,-0.77
200006,4.49,-0.08
200106,5.94,1.37
200206,2.97,-1.60
200306,5.53,0.96
200406,5.34,0.77
200506,5.09,0.52
200606,7.63,3.06
200706,3.82,-0.75
200806,2.28,-2.29
200906,4.42,-0.15
201006,3.65,-0.92
201106,3.14,-1.43
201206,2.85,-1.72
201306,9.00,4.43
201406,4.18,-0.39
201506,5.20,0.63
201606,4.32,-0.25
201706,4.70,0.13
201806,3.98,-0.59
201906,5.82,1.25
202006,5.04,0.47
202106,6.25,1.68
