Minnesota, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,0.38,-0.31
195102,1.28,0.59
195202,0.59,-0.10
195302,0.91,0.22
195402,0.87,0.18
195502,1.26,0.57
195602,0.32,-0.37
195702,0.68,-0.01
195802,0.23,-0.46
195902,0.52,-0.17
196002,0.21,-0.48
196102,0.55,-0.14
196202,1.44,0.75
196302,0.55,-0.14
196402,0.20,-0.49
196502,0.87,0.18
196602,0.93,0.24
196702,0.73,0.04
196802,0.13,-0.56
196902,0.64,-0.05
197002,0.28,-0.41
197102,1.50,0.81
197202,0.61,-0.08
197302,0.36,-0.33
197402,0.70,0.01
197502,0.52,-0.17
197602,0.58,-0.11
197702,1.02,0.33
197802,0.34,-0.35
197902,1.29,0.60
198002,0.64,-0.05
198102,1.25,0.56
198202,0.32,-0.37
198302,0.48,-0.21
198402,0.93,0.24
198502,0.41,-0.28
198602,0.71,0.02
198702,0.39,-0.30
198802,0.18,-0.51
198902,0.42,-0.27
199002,0.55,-0.14
199102,0.78,0.09
199202,0.65,-0.04
199302,0.30,-0.39
199402,0.57,-0.12
199502,0.51,-0.18
199602,0.72,0.03
199702,0.30,-0.39
199802,1.08,0.39
199902,0.44,-0.25
200002,1.03,0.34
200102,1.30,0.61
200202,0.58,-0.11
200302,0.44,-0.25
200402,0.82,0.13
200502,0.75,0.06
200602,0.54,-0.15
200702,1.08,0.39
200802,0.40,-0.29
200902,1.04,0.35
201002,0.58,-0.11
201102,0.68,-0.01
201202,1.18,0.49
201302,1.16,0.47
201402,0.86,0.17
201502,0.47,-0.22
201602,0.74,0.05
201702,0.97,0.28
201802,1.02,0.33
201902,1.72,1.03
202002,0.34,-0.35
202102,0.31,-0.38
