Louisiana, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,6.03,0.89
195101,6.80,1.66
195201,2.86,-2.28
195301,3.13,-2.01
195401,3.99,-1.15
195501,5.15,0.01
195601,3.11,-2.03
195701,3.18,-1.96
195801,4.61,-0.53
195901,3.49,-1.65
196001,4.30,-0.84
196101,5.89,0.75
196201,5.59,0.45
196301,3.90,-1.24
196401,5.74,0.60
196501,3.44,-1.70
196601,8.07,2.93
196701,2.59,-2.55
196801,5.18,0.04
196901,1.74,-3.40
197001,2.30,-2.84
197101,1.71,-3.43
197201,7.88,2.74
197301,5.11,-0.03
197401,10.89,5.75
197501,5.16,0.02
197601,2.97,-2.17
197701,5.40,0.26
197801,7.49,2.35
197901,9.52,4.38
198001,5.53,0.39
198101,1.70,-3.44
198201,3.60,-1.54
198301,4.56,-0.58
198401,3.85,-1.29
198501,4.47,-0.67
198601,1.93,-3.21
198701,5.81,0.67
198801,3.12,-2.02
198901,6.09,0.95
199001,10.26,5.12
199101,10.64,5.50
199201,8.45,3.31
199301,7.34,2.20
199401,6.11,0.97
199501,6.14,1.00
199601,3.90,-1.24
199701,5.47,0.33
199801,12.21,7.07
199901,8.55,3.41
200001,2.10,-3.04
200101,5.58,0.44
200201,4.01,-1.13
200301,1.11,-4.03
200401,5.12,-0.02
200501,3.59,-1.55
200601,4.08,-1.06
200701,7.22,2.08
200801,4.93,-0.21
200901,2.47,-2.67
201001,3.50,-1.64
201101,4.75,-0.39
201201,4.70,-0.44
201301,10.93,5.79
201401,2.06,-3.08
201501,5.86,0.72
201601,4.28,-0.86
201701,6.63,1.49
201801,4.70,-0.44
201901,5.71,0.57
202001,7.54,2.40
202101,3.54,-1.60
