New Mexico, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,1.08,-1.39
195108,2.32,-0.15
195208,2.11,-0.36
195308,1.63,-0.84
195408,2.64,0.17
195508,2.42,-0.05
195608,1.34,-1.13
195708,3.69,1.22
195808,2.52,0.05
195908,3.62,1.15
196008,1.46,-1.01
196108,3.02,0.55
196208,0.64,-1.83
196308,3.52,1.05
196408,1.73,-0.74
196508,2.23,-0.24
196608,3.79,1.32
196708,3.33,0.86
196808,2.92,0.45
196908,2.69,0.22
197008,1.74,-0.73
197108,3.08,0.61
197208,3.78,1.31
197308,1.30,-1.17
197408,3.04,0.57
197508,1.43,-1.04
197608,1.63,-0.84
197708,3.04,0.57
197808,1.89,-0.58
197908,2.74,0.27
198008,2.24,-0.23
198108,3.50,1.03
198208,2.66,0.19
198308,1.61,-0.86
198408,4.04,1.57
198508,1.94,-0.53
198608,2.78,0.31
198708,3.56,1.09
198808,3.59,1.12
198908,2.76,0.29
199008,2.86,0.39
199108,3.38,0.91
199208,2.53,0.06
199308,4.15,1.68
199408,2.19,-0.28
199508,2.07,-0.40
199608,2.97,0.50
199708,2.52,0.05
199808,2.14,-0.33
199908,3.44,0.97
200008,1.69,-0.78
200108,2.39,-0.08
200208,1.75,-0.72
200308,1.63,-0.84
200408,2.25,-0.22
200508,3.03,0.56
200608,4.78,2.31
200708,1.99,-0.48
200808,2.78,0.31
200908,1.26,-1.21
201008,2.26,-0.21
201108,1.84,-0.63
201208,1.62,-0.85
201308,2.16,-0.31
201408,2.16,-0.31
201508,2.05,-0.42
201608,3.21,0.74
201708,2.98,0.51
201808,1.94,-0.53
201908,1.54,-0.93
202008,0.71,-1.76
202108,2.34,-0.13
