Missouri, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,2.65,0.63
195102,4.43,2.41
195202,2.11,0.09
195302,1.60,-0.42
195402,1.74,-0.28
195502,3.24,1.22
195602,2.84,0.82
195702,2.74,0.72
195802,1.54,-0.48
195902,2.07,0.05
196002,1.84,-0.18
196102,2.27,0.25
196202,2.52,0.50
196302,0.30,-1.72
196402,1.72,-0.30
196502,1.80,-0.22
196602,2.95,0.93
196702,1.20,-0.82
196802,1.23,-0.79
196902,1.46,-0.56
197002,0.84,-1.18
197102,2.41,0.39
197202,1.17,-0.85
197302,1.75,-0.27
197402,2.06,0.04
197502,3.20,1.18
197602,1.49,-0.53
197702,1.35,-0.67
197802,1.30,-0.72
197902,1.86,-0.16
198002,1.40,-0.62
198102,1.76,-0.26
198202,1.17,-0.85
198302,0.80,-1.22
198402,2.37,0.35
198502,4.01,1.99
198602,2.71,0.69
198702,2.22,0.20
198802,1.95,-0.07
198902,2.92,0.90
199002,4.41,2.39
199102,0.71,-1.31
199202,2.07,0.05
199302,1.97,-0.05
199402,2.11,0.09
199502,1.43,-0.59
199602,0.55,-1.47
199702,4.26,2.24
199802,2.96,0.94
199902,2.27,0.25
200002,2.74,0.72
200102,4.39,2.37
200202,1.42,-0.60
200302,2.46,0.44
200402,0.93,-1.09
200502,2.37,0.35
200602,0.53,-1.49
200702,2.37,0.35
200802,4.47,2.45
200902,1.89,-0.13
201002,1.73,-0.29
201102,3.52,1.50
201202,2.30,0.28
201302,3.19,1.17
201402,1.22,-0.80
201502,1.70,-0.32
201602,1.02,-1.00
201702,0.59,-1.43
201802,4.89,2.87
201902,3.60,1.58
202002,2.51,0.49
202102,1.15,-0.87
