Montana, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,1.18,-1.24
195105,1.86,-0.56
195205,2.50,0.08
195305,4.11,1.69
195405,1.42,-1.00
195505,3.29,0.87
195605,2.23,-0.19
195705,2.79,0.37
195805,0.96,-1.46
195905,2.44,0.02
196005,1.91,-0.51
196105,2.45,0.03
196205,4.06,1.64
196305,1.94,-0.48
196405,3.11,0.69
196505,2.53,0.11
196605,1.55,-0.87
196705,1.95,-0.47
196805,2.30,-0.12
196905,1.54,-0.88
197005,3.03,0.61
197105,2.11,-0.31
197205,2.34,-0.08
197305,1.27,-1.15
197405,3.33,0.91
197505,3.29,0.87
197605,1.49,-0.93
197705,2.62,0.20
197805,4.75,2.33
197905,1.57,-0.85
198005,3.34,0.92
198105,4.76,2.34
198205,3.45,1.03
198305,2.03,-0.39
198405,1.69,-0.73
198505,2.03,-0.39
198605,2.99,0.57
198705,3.15,0.73
198805,2.25,-0.17
198905,2.60,0.18
199005,2.78,0.36
199105,3.09,0.67
199205,1.44,-0.98
199305,1.91,-0.51
199405,1.93,-0.49
199505,2.79,0.37
199605,3.60,1.18
199705,2.43,0.01
199805,2.13,-0.29
199905,2.36,-0.06
200005,2.09,-0.33
200105,0.83,-1.59
200205,2.04,-0.38
200305,2.33,-0.09
200405,3.00,0.58
200505,2.72,0.30
200605,1.80,-0.62
200705,4.05,1.63
200805,4.05,1.63
200905,1.34,-1.08
201005,3.93,1.51
201105,5.70,3.28
201205,2.42,0.00
201305,4.15,1.73
201405,1.92,-0.50
201505,2.43,0.01
201605,3.10,0.68
201705,1.54,-0.88
201805,2.80,0.38
201905,2.67,0.25
202005,2.48,0.06
202105,2.48,0.06
