New Mexico, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,0.27,-0.34
195101,0.64,0.03
195201,0.68,0.07
195301,0.17,-0.44
195401,0.37,-0.24
195501,0.64,0.03
195601,0.55,-0.06
195701,0.88,0.27
195801,0.78,0.17
195901,0.18,-0.43
196001,1.02,0.41
196101,0.56,-0.05
196201,0.79,0.18
196301,0.44,-0.17
196401,0.17,-0.44
196501,0.63,0.02
196601,0.53,-0.08
196701,0.11,-0.50
196801,0.58,-0.03
196901,0.46,-0.15
197001,0.07,-0.54
197101,0.25,-0.36
197201,0.17,-0.44
197301,0.80,0.19
197401,0.90,0.29
197501,0.74,0.13
197601,0.18,-0.43
197701,0.71,0.10
197801,1.05,0.44
197901,1.35,0.74
198001,1.10,0.49
198101,0.44,-0.17
198201,0.79,0.18
198301,1.07,0.46
198401,0.44,-0.17
198501,1.02,0.41
198601,0.15,-0.46
198701,0.89,0.28
198801,0.56,-0.05
198901,0.65,0.04
199001,0.67,0.06
199101,0.65,0.04
199201,0.94,0.33
199301,1.68,1.07
199401,0.25,-0.36
199501,0.94,0.33
199601,0.38,-0.23
199701,1.11,0.50
199801,0.18,-0.43
199901,0.51,-0.10
200001,0.23,-0.38
200101,1.16,0.55
200201,0.52,-0.09
200301,0.07,-0.54
200401,0.49,-0.12
200501,1.63,1.02
200601,0.16,-0.45
200701,1.04,0.43
200801,0.61,0.00
200901,0.20,-0.41
201001,1.44,0.83
201101,0.08,-0.53
201201,0.28,-0.33
201301,0.50,-0.11
201401,0.03,-0.58
201501,1.41,0.80
201601,0.52,-0.09
201701,1.71,1.10
201801,0.16,-0.45
201901,0.55,-0.06
202001,0.52,-0.09
202101,0.49,-0.12
