Minnesota, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,1.52,0.73
195101,0.50,-0.29
195201,1.06,0.27
195301,0.98,0.19
195401,0.85,0.06
195501,0.56,-0.23
195601,0.82,0.03
195701,0.30,-0.49
195801,0.44,-0.35
195901,0.30,-0.49
196001,0.65,-0.14
196101,0.22,-0.57
196201,0.67,-0.12
196301,0.31,-0.48
196401,0.45,-0.34
196501,0.35,-0.44
196601,0.69,-0.10
196701,1.76,0.97
196801,0.68,-0.11
196901,2.60,1.81
197001,0.51,-0.28
197101,0.87,0.08
197201,0.95,0.16
197301,0.48,-0.31
197401,0.45,-0.34
197501,2.40,1.61
197601,0.96,0.17
197701,0.63,-0.16
197801,0.41,-0.38
197901,1.00,0.21
198001,1.04,0.25
198101,0.19,-0.60
198201,1.41,0.62
198301,0.79,0.00
198401,0.54,-0.25
198501,0.41,-0.38
198601,0.66,-0.13
198701,0.49,-0.30
198801,0.97,0.18
198901,1.08,0.29
199001,0.39,-0.40
199101,0.47,-0.32
199201,0.65,-0.14
199301,0.96,0.17
199401,0.96,0.17
199501,0.65,-0.14
199601,1.65,0.86
199701,1.59,0.80
199801,0.92,0.13
199901,1.15,0.36
200001,0.58,-0.21
200101,0.83,0.04
200201,0.23,-0.56
200301,0.23,-0.56
200401,0.76,-0.03
200501,1.39,0.60
200601,0.50,-0.29
200701,0.44,-0.35
200801,0.21,-0.58
200901,0.60,-0.19
201001,0.89,0.10
201101,1.05,0.26
201201,0.56,-0.23
201301,1.01,0.22
201401,0.80,0.01
201501,0.49,-0.30
201601,0.54,-0.25
201701,0.98,0.19
201801,0.57,-0.22
201901,0.65,-0.14
202001,0.88,0.09
202101,0.57,-0.22
