New Jersey, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,2.35,-1.15
195101,3.22,-0.28
195201,5.09,1.59
195301,5.21,1.71
195401,1.99,-1.51
195501,0.63,-2.87
195601,2.40,-1.10
195701,1.92,-1.58
195801,4.77,1.27
195901,2.26,-1.24
196001,3.28,-0.22
196101,3.12,-0.38
196201,2.96,-0.54
196301,2.46,-1.04
196401,4.52,1.02
196501,3.06,-0.44
196601,3.21,-0.29
196701,1.33,-2.17
196801,2.60,-0.90
196901,2.02,-1.48
197001,0.95,-2.55
197101,2.56,-0.94
197201,2.65,-0.85
197301,4.20,0.70
197401,3.57,0.07
197501,5.23,1.73
197601,5.18,1.68
197701,2.29,-1.21
197801,7.56,4.06
197901,9.12,5.62
198001,2.25,-1.25
198101,0.54,-2.96
198201,4.45,0.95
198301,3.32,-0.18
198401,2.02,-1.48
198501,1.40,-2.10
198601,4.06,0.56
198701,5.24,1.74
198801,2.90,-0.60
198901,2.12,-1.38
199001,4.42,0.92
199101,4.33,0.83
199201,1.76,-1.74
199301,2.59,-0.91
199401,5.42,1.92
199501,3.19,-0.31
199601,5.73,2.23
199701,3.18,-0.32
199801,4.57,1.07
199901,7.19,3.69
200001,3.10,-0.40
200101,3.03,-0.47
200201,2.21,-1.29
200301,2.54,-0.96
200401,1.98,-1.52
200501,4.35,0.85
200601,5.17,1.67
200701,3.60,0.10
200801,2.06,-1.44
200901,2.93,-0.57
201001,2.64,-0.86
201101,3.33,-0.17
201201,2.78,-0.72
201301,3.00,-0.50
201401,3.12,-0.38
201501,4.43,0.93
201601,3.19,-0.31
201701,3.71,0.21
201801,2.72,-0.78
201901,4.49,0.99
202001,2.29,-1.21
202101,1.86,-1.64
