Michigan, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,3.94,1.34
195104,3.44,0.84
195204,2.34,-0.26
195304,3.05,0.45
195404,4.17,1.57
195504,2.26,-0.34
195604,3.25,0.65
195704,3.26,0.66
195804,1.78,-0.82
195904,3.42,0.82
196004,3.53,0.93
196104,2.98,0.38
196204,1.78,-0.82
196304,2.18,-0.42
196404,3.33,0.73
196504,2.65,0.05
196604,2.75,0.15
196704,4.17,1.57
196804,2.56,-0.04
196904,3.34,0.74
197004,2.34,-0.26
197104,1.26,-1.34
197204,2.44,-0.16
197304,2.53,-0.07
197404,3.09,0.49
197504,2.80,0.20
197604,2.56,-0.04
197704,2.74,0.14
197804,2.02,-0.58
197904,3.04,0.44
198004,3.26,0.66
198104,4.22,1.62
198204,2.23,-0.37
198304,3.05,0.45
198404,2.49,-0.11
198504,3.13,0.53
198604,2.08,-0.52
198704,1.75,-0.85
198804,2.48,-0.12
198904,1.60,-1.00
199004,2.01,-0.59
199104,3.91,1.31
199204,3.07,0.47
199304,3.84,1.24
199404,2.96,0.36
199504,3.14,0.54
199604,3.45,0.85
199704,1.14,-1.46
199804,2.27,-0.33
199904,3.29,0.69
200004,2.41,-0.19
200104,3.12,0.52
200204,3.57,0.97
200304,2.79,0.19
200404,2.06,-0.54
200504,1.36,-1.24
200604,2.10,-0.50
200704,3.00,0.40
200804,3.32,0.72
200904,3.94,1.34
201004,2.09,-0.51
201104,5.44,2.84
201204,1.89,-0.71
201304,5.72,3.12
201404,3.82,1.22
201504,2.46,-0.14
201604,2.80,0.20
201704,4.39,1.79
201804,3.00,0.40
201904,3.65,1.05
202004,3.01,0.41
202104,2.08,-0.52
