Illinois, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,6.65,4.52
195101,2.16,0.03
195201,1.71,-0.42
195301,1.79,-0.34
195401,1.59,-0.54
195501,1.86,-0.27
195601,0.71,-1.42
195701,2.11,-0.02
195801,1.65,-0.48
195901,2.46,0.33
196001,2.30,0.17
196101,0.54,-1.59
196201,3.26,1.13
196301,0.71,-1.42
196401,1.38,-0.75
196501,4.06,1.93
196601,1.40,-0.73
196701,1.91,-0.22
196801,1.56,-0.57
196901,3.82,1.69
197001,0.63,-1.50
197101,1.35,-0.78
197201,1.03,-1.10
197301,1.80,-0.33
197401,3.35,1.22
197501,3.50,1.37
197601,1.02,-1.11
197701,1.13,-1.00
197801,1.22,-0.91
197901,2.97,0.84
198001,0.91,-1.22
198101,0.31,-1.82
198201,4.19,2.06
198301,0.65,-1.48
198401,0.73,-1.40
198501,1.61,-0.52
198601,0.24,-1.89
198701,1.43,-0.70
198801,2.04,-0.09
198901,1.58,-0.55
199001,2.05,-0.08
199101,1.60,-0.53
199201,1.18,-0.95
199301,3.67,1.54
199401,1.87,-0.26
199501,3.17,1.04
199601,2.32,0.19
199701,2.49,0.36
199801,2.74,0.61
199901,4.21,2.08
200001,1.53,-0.60
200101,1.72,-0.41
200201,2.22,0.09
200301,0.65,-1.48
200401,1.98,-0.15
200501,5.34,3.21
200601,2.74,0.61
200701,2.93,0.80
200801,2.43,0.30
200901,1.01,-1.12
201001,1.44,-0.69
201101,1.19,-0.94
201201,1.89,-0.24
201301,3.81,1.68
201401,1.72,-0.41
201501,1.50,-0.63
201601,0.86,-1.27
201701,2.13,0.00
201801,1.30,-0.83
201901,3.31,1.18
202001,4.36,2.23
202101,2.47,0.34
