Washington, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,3.37,0.54
195104,0.82,-2.01
195204,1.78,-1.05
195304,2.89,0.06
195404,2.95,0.12
195504,4.44,1.61
195604,0.69,-2.14
195704,2.45,-0.38
195804,4.70,1.87
195904,3.38,0.55
196004,3.94,1.11
196104,3.14,0.31
196204,3.52,0.69
196304,3.92,1.09
196404,2.43,-0.40
196504,3.19,0.36
196604,1.41,-1.42
196704,2.98,0.15
196804,2.23,-0.60
196904,3.74,0.91
197004,4.03,1.20
197104,2.32,-0.51
197204,4.08,1.25
197304,1.35,-1.48
197404,3.68,0.85
197504,2.27,-0.56
197604,2.50,-0.33
197704,1.19,-1.64
197804,3.76,0.93
197904,2.64,-0.19
198004,3.14,0.31
198104,4.09,1.26
198204,3.69,0.86
198304,2.23,-0.60
198404,3.52,0.69
198504,2.51,-0.32
198604,2.66,-0.17
198704,2.46,-0.37
198804,4.11,1.28
198904,2.89,0.06
199004,2.89,0.06
199104,4.60,1.77
199204,4.24,1.41
199304,5.15,2.32
199404,2.88,0.05
199504,3.05,0.22
199604,5.58,2.75
199704,3.98,1.15
199804,1.64,-1.19
199904,1.46,-1.37
200004,2.29,-0.54
200104,3.26,0.43
200204,3.23,0.40
200304,3.84,1.01
200404,1.35,-1.48
200504,3.37,0.54
200604,2.93,0.10
200704,2.13,-0.70
200804,2.29,-0.54
200904,2.66,-0.17
201004,4.04,1.21
201104,4.67,1.84
201204,3.93,1.10
201304,4.23,1.40
201404,3.78,0.95
201504,1.82,-1.01
201604,1.60,-1.23
201704,4.88,2.05
201804,5.47,2.64
201904,3.50,0.67
202004,1.37,-1.46
202104,0.98,-1.85
