New Hampshire, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,4.66,0.89
195108,3.96,0.19
195208,3.50,-0.27
195308,3.91,0.14
195408,4.40,0.63
195508,7.52,3.75
195608,2.49,-1.28
195708,1.54,-2.23
195808,2.37,-1.40
195908,5.02,1.25
196008,2.29,-1.48
196108,3.09,-0.68
196208,4.27,0.50
196308,4.35,0.58
196408,3.73,-0.04
196508,3.35,-0.42
196608,4.50,0.73
196708,3.22,-0.55
196808,2.35,-1.42
196908,3.92,0.15
197008,3.73,-0.04
197108,4.72,0.95
197208,2.91,-0.86
197308,3.76,-0.01
197408,3.23,-0.54
197508,4.53,0.76
197608,5.09,1.32
197708,4.08,0.31
197808,3.19,-0.58
197908,4.85,1.08
198008,2.93,-0.84
198108,3.85,0.08
198208,3.41,-0.36
198308,4.90,1.13
198408,1.79,-1.98
198508,4.65,0.88
198608,4.47,0.70
198708,2.95,-0.82
198808,5.63,1.86
198908,5.07,1.30
199008,8.07,4.30
199108,8.53,4.76
199208,3.95,0.18
199308,3.35,-0.42
199408,3.88,0.11
199508,2.69,-1.08
199608,1.05,-2.72
199708,5.05,1.28
199808,3.21,-0.56
199908,3.15,-0.62
200008,3.12,-0.65
200108,1.78,-1.99
200208,2.04,-1.73
200308,6.24,2.47
200408,5.81,2.04
200508,4.02,0.25
200608,4.49,0.72
200708,2.73,-1.04
200808,5.81,2.04
200908,5.17,1.40
201008,3.75,-0.02
201108,9.09,5.32
201208,4.76,0.99
201308,3.34,-0.43
201408,3.58,-0.19
201508,3.59,-0.18
201608,4.17,0.40
201708,3.66,-0.11
201808,5.86,2.09
201908,4.03,0.26
202008,2.66,-1.11
202108,3.63,-0.14
