Connecticut, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,4.52,0.52
195112,5.34,1.34
195212,3.96,-0.04
195312,5.54,1.54
195412,5.32,1.32
195512,0.77,-3.23
195612,4.87,0.87
195712,7.12,3.12
195812,1.45,-2.55
195912,4.80,0.80
196012,3.14,-0.86
196112,3.17,-0.83
196212,2.79,-1.21
196312,2.52,-1.48
196412,4.69,0.69
196512,1.96,-2.04
196612,3.21,-0.79
196712,5.98,1.98
196812,5.91,1.91
196912,7.35,3.35
197012,3.28,-0.72
197112,2.98,-1.02
197212,7.15,3.15
197312,8.98,4.98
197412,5.28,1.28
197512,4.46,0.46
197612,3.17,-0.83
197712,5.69,1.69
197812,4.36,0.36
197912,2.54,-1.46
198012,0.92,-3.08
198112,5.25,1.25
198212,1.75,-2.25
198312,6.79,2.79
198412,2.95,-1.05
198512,1.61,-2.39
198612,6.00,2.00
198712,2.24,-1.76
198812,1.56,-2.44
198912,1.25,-2.75
199012,5.69,1.69
199112,3.46,-0.54
199212,5.62,1.62
199312,5.44,1.44
199412,4.66,0.66
199512,2.30,-1.70
199612,7.45,3.45
199712,3.25,-0.75
199812,1.27,-2.73
199912,2.77,-1.23
200012,4.22,0.22
200112,2.45,-1.55
200212,4.69,0.69
200312,5.18,1.18
200412,4.37,0.37
200512,4.23,0.23
200612,2.13,-1.87
200712,4.97,0.97
200812,6.92,2.92
200912,5.49,1.49
201012,4.56,0.56
201112,4.53,0.53
201212,4.70,0.70
201312,3.65,-0.35
201412,4.88,0.88
201512,4.14,0.14
201612,3.46,-0.54
201712,2.29,-1.71
201812,5.06,1.06
201912,6.60,2.60
202012,6.38,2.38
202112,2.13,-1.87
