Arkansas, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,3.21,-1.83
195104,4.31,-0.73
195204,5.72,0.68
195304,7.27,2.23
195404,3.86,-1.18
195504,4.76,-0.28
195604,4.42,-0.62
195704,11.80,6.76
195804,7.16,2.12
195904,3.53,-1.51
196004,2.18,-2.86
196104,3.03,-2.01
196204,2.98,-2.06
196304,3.62,-1.42
196404,8.11,3.07
196504,2.55,-2.49
196604,8.50,3.46
196704,5.35,0.31
196804,5.36,0.32
196904,3.99,-1.05
197004,6.90,1.86
197104,2.51,-2.53
197204,3.60,-1.44
197304,10.07,5.03
197404,5.81,0.77
197504,3.64,-1.40
197604,2.44,-2.60
197704,3.84,-1.20
197804,3.06,-1.98
197904,7.83,2.79
198004,4.52,-0.52
198104,2.54,-2.50
198204,5.29,0.25
198304,5.79,0.75
198404,4.02,-1.02
198504,5.49,0.45
198604,6.41,1.37
198704,1.17,-3.87
198804,3.56,-1.48
198904,2.09,-2.95
199004,6.14,1.10
199104,12.28,7.24
199204,2.61,-2.43
199304,5.96,0.92
199404,4.25,-0.79
199504,6.03,0.99
199604,4.52,-0.52
199704,7.72,2.68
199804,3.23,-1.81
199904,5.59,0.55
200004,3.61,-1.43
200104,2.34,-2.70
200204,3.33,-1.71
200304,2.60,-2.44
200404,6.28,1.24
200504,4.12,-0.92
200604,4.56,-0.48
200704,4.22,-0.82
200804,8.13,3.09
200904,5.21,0.17
201004,3.06,-1.98
201104,10.60,5.56
201204,2.56,-2.48
201304,5.23,0.19
201404,5.54,0.50
201504,5.75,0.71
201604,5.80,0.76
201704,8.74,3.70
201804,5.06,0.02
201904,8.25,3.21
202004,6.11,1.07
202104,5.58,0.54
