Michigan, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,3.60,0.32
195106,3.72,0.44
195206,2.66,-0.62
195306,3.81,0.53
195406,5.18,1.90
195506,2.40,-0.88
195606,3.03,-0.25
195706,3.77,0.49
195806,3.23,-0.05
195906,1.98,-1.30
196006,3.80,0.52
196106,3.26,-0.02
196206,2.94,-0.34
196306,2.48,-0.80
196406,2.09,-1.19
196506,2.33,-0.95
196606,2.19,-1.09
196706,5.45,2.17
196806,5.37,2.09
196906,5.48,2.20
197006,2.70,-0.58
197106,2.52,-0.76
197206,2.74,-0.54
197306,3.75,0.47
197406,3.87,0.59
197506,4.25,0.97
197606,2.86,-0.42
197706,2.96,-0.32
197806,3.08,-0.20
197906,4.11,0.83
198006,3.75,0.47
198106,4.24,0.96
198206,3.16,-0.12
198306,2.33,-0.95
198406,3.00,-0.28
198506,2.13,-1.15
198606,4.27,0.99
198706,2.70,-0.58
198806,0.98,-2.30
198906,4.06,0.78
199006,4.28,1.00
199106,2.07,-1.21
199206,2.21,-1.07
199306,4.75,1.47
199406,4.15,0.87
199506,2.24,-1.04
199606,4.97,1.69
199706,2.46,-0.82
199806,2.95,-0.33
199906,3.90,0.62
200006,4.07,0.79
200106,3.24,-0.04
200206,3.01,-0.27
200306,2.21,-1.07
200406,3.27,-0.01
200506,2.87,-0.41
200606,2.42,-0.86
200706,2.67,-0.61
200806,4.69,1.41
200906,3.53,0.25
201006,5.89,2.61
201106,3.65,0.37
201206,3.00,-0.28
201306,3.68,0.40
201406,3.82,0.54
201506,4.06,0.78
201606,2.46,-0.82
201706,4.72,1.44
201806,2.95,-0.33
201906,4.13,0.85
202006,3.09,-0.19
202106,4.94,1.66
