Michigan, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,3.32,-0.06
195109,3.61,0.23
195209,1.71,-1.67
195309,2.61,-0.77
195409,3.93,0.55
195509,1.41,-1.97
195609,1.54,-1.84
195709,3.15,-0.23
195809,3.19,-0.19
195909,3.89,0.51
196009,2.56,-0.82
196109,5.48,2.10
196209,3.14,-0.24
196309,2.32,-1.06
196409,3.51,0.13
196509,5.56,2.18
196609,2.22,-1.16
196709,2.14,-1.24
196809,4.28,0.90
196909,1.85,-1.53
197009,5.44,2.06
197109,3.04,-0.34
197209,3.91,0.53
197309,2.56,-0.82
197409,2.89,-0.49
197509,3.25,-0.13
197609,1.83,-1.55
197709,4.80,1.42
197809,5.10,1.72
197909,0.93,-2.45
198009,4.78,1.40
198109,4.07,0.69
198209,3.55,0.17
198309,4.49,1.11
198409,4.37,0.99
198509,4.67,1.29
198609,8.72,5.34
198709,3.61,0.23
198809,3.98,0.60
198909,2.25,-1.13
199009,3.87,0.49
199109,2.86,-0.52
199209,4.54,1.16
199309,4.16,0.78
199409,2.57,-0.81
199509,2.27,-1.11
199609,3.78,0.40
199709,3.29,-0.09
199809,2.44,-0.94
199909,2.74,-0.64
200009,3.95,0.57
200109,4.25,0.87
200209,2.13,-1.25
200309,3.33,-0.05
200409,1.07,-2.31
200509,3.58,0.20
200609,3.35,-0.03
200709,2.84,-0.54
200809,5.22,1.84
200909,1.81,-1.57
201009,4.88,1.50
201109,3.72,0.34
201209,2.57,-0.81
201309,1.92,-1.46
201409,3.92,0.54
201509,2.91,-0.47
201609,3.96,0.58
201709,1.57,-1.81
201809,3.54,0.16
201909,5.19,1.81
202009,3.08,-0.30
202109,3.64,0.26
