Maine, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,1.49,-2.20
195109,2.74,-0.95
195209,2.98,-0.71
195309,2.97,-0.72
195409,8.24,4.55
195509,1.83,-1.86
195609,3.50,-0.19
195709,2.97,-0.72
195809,3.01,-0.68
195909,2.57,-1.12
196009,3.72,0.03
196109,4.47,0.78
196209,3.49,-0.20
196309,3.20,-0.49
196409,1.73,-1.96
196509,3.22,-0.47
196609,3.58,-0.11
196709,5.53,1.84
196809,1.93,-1.76
196909,5.32,1.63
197009,3.58,-0.11
197109,3.03,-0.66
197209,4.04,0.35
197309,3.77,0.08
197409,4.32,0.63
197509,4.30,0.61
197609,2.82,-0.87
197709,5.49,1.80
197809,2.07,-1.62
197909,3.50,-0.19
198009,4.63,0.94
198109,6.29,2.60
198209,3.35,-0.34
198309,2.53,-1.16
198409,1.59,-2.10
198509,3.48,-0.21
198609,3.66,-0.03
198709,5.61,1.92
198809,1.84,-1.85
198909,3.96,0.27
199009,3.56,-0.13
199109,4.63,0.94
199209,2.71,-0.98
199309,4.38,0.69
199409,4.41,0.72
199509,2.55,-1.14
199609,5.08,1.39
199709,3.09,-0.60
199809,2.86,-0.83
199909,9.04,5.35
200009,2.27,-1.42
200109,3.70,0.01
200209,4.25,0.56
200309,4.20,0.51
200409,2.74,-0.95
200509,4.68,0.99
200609,2.96,-0.73
200709,2.38,-1.31
200809,6.01,2.32
200909,1.75,-1.94
201009,5.37,1.68
201109,3.89,0.20
201209,4.91,1.22
201309,5.42,1.73
201409,1.61,-2.08
201509,4.82,1.13
201609,1.58,-2.11
201709,3.08,-0.61
201809,3.15,-0.54
201909,3.46,-0.23
202009,1.00,-2.69
202109,6.47,2.78
