Michigan, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,3.75,1.94
195101,1.97,0.16
195201,2.44,0.63
195301,1.80,-0.01
195401,1.58,-0.23
195501,1.35,-0.46
195601,0.72,-1.09
195701,1.36,-0.45
195801,1.22,-0.59
195901,1.86,0.05
196001,2.26,0.45
196101,0.60,-1.21
196201,2.15,0.34
196301,1.06,-0.75
196401,1.41,-0.40
196501,2.50,0.69
196601,1.29,-0.52
196701,2.59,0.78
196801,1.47,-0.34
196901,2.62,0.81
197001,1.40,-0.41
197101,1.87,0.06
197201,1.46,-0.35
197301,1.41,-0.40
197401,2.50,0.69
197501,2.86,1.05
197601,2.01,0.20
197701,1.24,-0.57
197801,2.51,0.70
197901,2.43,0.62
198001,1.74,-0.07
198101,0.83,-0.98
198201,2.77,0.96
198301,1.27,-0.54
198401,0.98,-0.83
198501,2.13,0.32
198601,1.17,-0.64
198701,1.24,-0.57
198801,1.70,-0.11
198901,1.41,-0.40
199001,2.04,0.23
199101,1.27,-0.54
199201,1.54,-0.27
199301,2.45,0.64
199401,2.05,0.24
199501,2.14,0.33
199601,2.14,0.33
199701,3.04,1.23
199801,2.82,1.01
199901,3.31,1.50
200001,1.68,-0.13
200101,1.23,-0.58
200201,1.12,-0.69
200301,0.86,-0.95
200401,2.03,0.22
200501,2.93,1.12
200601,3.00,1.19
200701,2.19,0.38
200801,3.19,1.38
200901,1.32,-0.49
201001,0.95,-0.86
201101,1.43,-0.38
201201,2.22,0.41
201301,3.30,1.49
201401,2.21,0.40
201501,1.28,-0.53
201601,1.73,-0.08
201701,2.78,0.97
201801,1.74,-0.07
201901,2.29,0.48
202001,2.84,1.03
202101,1.05,-0.76
