New Hampshire, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,2.54,-1.26
195109,3.57,-0.23
195209,3.45,-0.35
195309,2.29,-1.51
195409,8.61,4.81
195509,1.78,-2.02
195609,5.01,1.21
195709,2.72,-1.08
195809,3.74,-0.06
195909,2.44,-1.36
196009,6.64,2.84
196109,3.06,-0.74
196209,3.33,-0.47
196309,2.47,-1.33
196409,1.12,-2.68
196509,4.17,0.37
196609,4.22,0.42
196709,3.02,-0.78
196809,2.85,-0.95
196909,3.07,-0.73
197009,4.22,0.42
197109,2.60,-1.20
197209,2.11,-1.69
197309,2.92,-0.88
197409,5.77,1.97
197509,5.78,1.98
197609,3.30,-0.50
197709,5.95,2.15
197809,1.43,-2.37
197909,3.78,-0.02
198009,3.88,0.08
198109,5.30,1.50
198209,2.76,-1.04
198309,1.97,-1.83
198409,1.54,-2.26
198509,4.74,0.94
198609,3.23,-0.57
198709,5.58,1.78
198809,2.16,-1.64
198909,4.39,0.59
199009,2.54,-1.26
199109,5.43,1.63
199209,3.66,-0.14
199309,4.68,0.88
199409,4.87,1.07
199509,2.78,-1.02
199609,3.81,0.01
199709,2.43,-1.37
199809,2.78,-1.02
199909,9.68,5.88
200009,3.08,-0.72
200109,4.28,0.48
200209,3.84,0.04
200309,5.34,1.54
200409,4.55,0.75
200509,3.47,-0.33
200609,2.51,-1.29
200709,3.37,-0.43
200809,6.51,2.71
200909,1.63,-2.17
201009,2.95,-0.85
201109,6.03,2.23
201209,5.06,1.26
201309,5.08,1.28
201409,1.63,-2.17
201509,5.36,1.56
201609,2.11,-1.69
201709,2.96,-0.84
201809,4.80,1.00
201909,2.34,-1.46
202009,1.69,-2.11
202109,4.68,0.88
