Minnesota, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,3.04,-1.07
195106,4.61,0.50
195206,4.99,0.88
195306,6.07,1.96
195406,3.79,-0.32
195506,3.46,-0.65
195606,3.50,-0.61
195706,6.67,2.56
195806,3.61,-0.50
195906,3.46,-0.65
196006,3.64,-0.47
196106,1.61,-2.50
196206,3.39,-0.72
196306,3.83,-0.28
196406,4.16,0.05
196506,4.06,-0.05
196606,3.23,-0.88
196706,5.97,1.86
196806,6.16,2.05
196906,3.43,-0.68
197006,3.43,-0.68
197106,4.87,0.76
197206,2.59,-1.52
197306,2.81,-1.30
197406,3.19,-0.92
197506,6.02,1.91
197606,4.43,0.32
197706,3.82,-0.29
197806,3.65,-0.46
197906,4.46,0.35
198006,3.49,-0.62
198106,5.73,1.62
198206,2.41,-1.70
198306,4.97,0.86
198406,6.68,2.57
198506,4.08,-0.03
198606,4.58,0.47
198706,1.78,-2.33
198806,1.82,-2.29
198906,3.50,-0.61
199006,6.02,1.91
199106,4.80,0.69
199206,3.86,-0.25
199306,5.89,1.78
199406,4.94,0.83
199506,2.26,-1.85
199606,3.71,-0.40
199706,4.18,0.07
199806,5.36,1.25
199906,4.30,0.19
200006,4.99,0.88
200106,3.89,-0.22
200206,6.14,2.03
200306,4.73,0.62
200406,2.76,-1.35
200506,5.61,1.50
200606,2.65,-1.46
200706,3.58,-0.53
200806,4.88,0.77
200906,3.35,-0.76
201006,5.21,1.10
201106,4.18,0.07
201206,4.36,0.25
201306,5.22,1.11
201406,8.07,3.96
201506,3.80,-0.31
201606,4.15,0.04
201706,3.76,-0.35
201806,5.72,1.61
201906,3.55,-0.56
202006,4.05,-0.06
202106,1.82,-2.29
