Maine, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,3.59,0.27
195103,3.70,0.38
195203,2.00,-1.32
195303,7.32,4.00
195403,3.23,-0.09
195503,4.50,1.18
195603,3.60,0.28
195703,2.05,-1.27
195803,2.88,-0.44
195903,3.87,0.55
196003,2.36,-0.96
196103,2.86,-0.46
196203,1.49,-1.83
196303,2.82,-0.50
196403,2.95,-0.37
196503,0.56,-2.76
196603,3.38,0.06
196703,1.16,-2.16
196803,3.57,0.25
196903,2.54,-0.78
197003,2.74,-0.58
197103,3.51,0.19
197203,5.86,2.54
197303,2.91,-0.41
197403,3.97,0.65
197503,3.44,0.12
197603,2.84,-0.48
197703,4.25,0.93
197803,3.05,-0.27
197903,4.45,1.13
198003,3.70,0.38
198103,1.87,-1.45
198203,2.85,-0.47
198303,5.40,2.08
198403,4.45,1.13
198503,2.76,-0.56
198603,3.46,0.14
198703,2.92,-0.40
198803,1.40,-1.92
198903,2.49,-0.83
199003,1.98,-1.34
199103,5.14,1.82
199203,3.57,0.25
199303,3.20,-0.12
199403,4.13,0.81
199503,2.57,-0.75
199603,2.22,-1.10
199703,3.29,-0.03
199803,4.00,0.68
199903,5.41,2.09
200003,3.60,0.28
200103,3.71,0.39
200203,3.52,0.20
200303,3.51,0.19
200403,1.61,-1.71
200503,4.27,0.95
200603,1.20,-2.12
200703,4.14,0.82
200803,4.62,1.30
200903,2.45,-0.87
201003,5.11,1.79
201103,4.93,1.61
201203,1.94,-1.38
201303,2.45,-0.87
201403,3.80,0.48
201503,1.78,-1.54
201603,3.74,0.42
201703,2.69,-0.63
201803,2.95,-0.37
201903,2.19,-1.13
202003,2.70,-0.62
202103,1.91,-1.41
