Pennsylvania, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,2.69,-0.95
195104,3.78,0.14
195204,5.40,1.76
195304,3.94,0.30
195404,4.21,0.57
195504,3.13,-0.51
195604,3.77,0.13
195704,5.56,1.92
195804,4.17,0.53
195904,4.02,0.38
196004,2.61,-1.03
196104,5.59,1.95
196204,3.89,0.25
196304,1.87,-1.77
196404,5.65,2.01
196504,2.39,-1.25
196604,3.36,-0.28
196704,3.22,-0.42
196804,2.01,-1.63
196904,3.58,-0.06
197004,4.19,0.55
197104,1.30,-2.34
197204,4.17,0.53
197304,5.21,1.57
197404,3.01,-0.63
197504,2.54,-1.10
197604,2.31,-1.33
197704,4.15,0.51
197804,2.26,-1.38
197904,3.63,-0.01
198004,4.45,0.81
198104,4.58,0.94
198204,2.99,-0.65
198304,6.48,2.84
198404,4.29,0.65
198504,1.61,-2.03
198604,3.49,-0.15
198704,4.46,0.82
198804,2.55,-1.09
198904,1.71,-1.93
199004,3.11,-0.53
199104,3.15,-0.49
199204,2.78,-0.86
199304,6.53,2.89
199404,3.73,0.09
199504,2.57,-1.07
199604,4.48,0.84
199704,1.80,-1.84
199804,5.60,1.96
199904,3.96,0.32
200004,4.48,0.84
200104,2.79,-0.85
200204,3.92,0.28
200304,2.66,-0.98
200404,4.87,1.23
200504,3.80,0.16
200604,3.48,-0.16
200704,4.31,0.67
200804,3.13,-0.51
200904,3.25,-0.39
201004,2.31,-1.33
201104,8.06,4.42
201204,2.15,-1.49
201304,3.02,-0.62
201404,3.85,0.21
201504,3.86,0.22
201604,2.63,-1.01
201704,4.32,0.68
201804,4.17,0.53
201904,4.53,0.89
202004,4.51,0.87
202104,2.79,-0.85
