Idaho, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,4.80,1.78
195101,3.13,0.11
195201,3.05,0.03
195301,5.63,2.61
195401,4.26,1.24
195501,1.71,-1.31
195601,4.18,1.16
195701,2.25,-0.77
195801,2.64,-0.38
195901,3.63,0.61
196001,2.03,-0.99
196101,1.24,-1.78
196201,2.05,-0.97
196301,2.15,-0.87
196401,3.59,0.57
196501,4.63,1.61
196601,2.74,-0.28
196701,4.60,1.58
196801,2.30,-0.72
196901,6.16,3.14
197001,6.15,3.13
197101,4.90,1.88
197201,4.30,1.28
197301,2.46,-0.56
197401,4.55,1.53
197501,3.81,0.79
197601,2.96,-0.06
197701,1.25,-1.77
197801,3.32,0.30
197901,2.36,-0.66
198001,4.31,1.29
198101,1.41,-1.61
198201,3.72,0.70
198301,2.57,-0.45
198401,1.75,-1.27
198501,0.68,-2.34
198601,2.74,-0.28
198701,2.00,-1.02
198801,2.49,-0.53
198901,2.97,-0.05
199001,3.59,0.57
199101,1.83,-1.19
199201,1.27,-1.75
199301,2.81,-0.21
199401,1.89,-1.13
199501,3.55,0.53
199601,4.07,1.05
199701,4.44,1.42
199801,4.09,1.07
199901,3.33,0.31
200001,3.41,0.39
200101,1.37,-1.65
200201,2.97,-0.05
200301,3.19,0.17
200401,2.90,-0.12
200501,1.81,-1.21
200601,4.71,1.69
200701,1.36,-1.66
200801,3.53,0.51
200901,2.72,-0.30
201001,2.54,-0.48
201101,2.79,-0.23
201201,3.33,0.31
201301,1.90,-1.12
201401,2.02,-1.00
201501,2.06,-0.96
201601,2.66,-0.36
201701,3.33,0.31
201801,2.78,-0.24
201901,2.22,-0.80
202001,3.96,0.94
202101,2.31,-0.71
