New Hampshire, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,4.40,1.11
195101,2.51,-0.78
195201,4.05,0.76
195301,4.92,1.63
195401,3.01,-0.28
195501,1.10,-2.19
195601,4.74,1.45
195701,2.24,-1.05
195801,7.16,3.87
195901,3.76,0.47
196001,2.98,-0.31
196101,1.56,-1.73
196201,2.71,-0.58
196301,2.76,-0.53
196401,4.48,1.19
196501,1.67,-1.62
196601,3.39,0.10
196701,1.61,-1.68
196801,2.26,-1.03
196901,2.27,-1.02
197001,0.80,-2.49
197101,2.40,-0.89
197201,2.09,-1.20
197301,3.77,0.48
197401,3.44,0.15
197501,3.87,0.58
197601,4.64,1.35
197701,3.11,-0.18
197801,7.19,3.90
197901,8.42,5.13
198001,1.03,-2.26
198101,0.66,-2.63
198201,3.62,0.33
198301,4.29,1.00
198401,1.83,-1.46
198501,1.29,-2.00
198601,5.83,2.54
198701,3.86,0.57
198801,2.21,-1.08
198901,1.53,-1.76
199001,4.49,1.20
199101,2.69,-0.60
199201,2.68,-0.61
199301,2.64,-0.65
199401,4.78,1.49
199501,3.81,0.52
199601,5.41,2.12
199701,3.61,0.32
199801,5.35,2.06
199901,6.43,3.14
200001,3.89,0.60
200101,1.58,-1.71
200201,2.63,-0.66
200301,2.34,-0.95
200401,0.93,-2.36
200501,3.15,-0.14
200601,4.38,1.09
200701,3.17,-0.12
200801,2.58,-0.71
200901,3.04,-0.25
201001,2.78,-0.51
201101,2.57,-0.72
201201,3.21,-0.08
201301,1.98,-1.31
201401,3.46,0.17
201501,3.35,0.06
201601,1.97,-1.32
201701,2.82,-0.47
201801,4.14,0.85
201901,5.41,2.12
202001,2.74,-0.55
202101,2.15,-1.14
