Arizona, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,0.32,0.03
195106,0.00,-0.29
195206,0.64,0.35
195306,0.18,-0.11
195406,0.52,0.23
195506,0.73,0.44
195606,0.31,0.02
195706,0.52,0.23
195806,0.39,0.10
195906,0.36,0.07
196006,0.18,-0.11
196106,0.17,-0.12
196206,0.33,0.04
196306,0.03,-0.26
196406,0.19,-0.10
196506,0.39,0.10
196606,0.34,0.05
196706,0.55,0.26
196806,0.24,-0.05
196906,0.12,-0.17
197006,0.18,-0.11
197106,0.03,-0.26
197206,1.01,0.72
197306,0.53,0.24
197406,0.02,-0.27
197506,0.03,-0.26
197606,0.08,-0.21
197706,0.34,0.05
197806,0.13,-0.16
197906,0.35,0.06
198006,0.10,-0.19
198106,0.44,0.15
198206,0.05,-0.24
198306,0.06,-0.23
198406,0.47,0.18
198506,0.13,-0.16
198606,0.41,0.12
198706,0.35,0.06
198806,0.55,0.26
198906,0.03,-0.26
199006,0.28,-0.01
199106,0.31,0.02
199206,0.21,-0.08
199306,0.14,-0.15
199406,0.23,-0.06
199506,0.13,-0.16
199606,0.26,-0.03
199706,0.25,-0.04
199806,0.07,-0.22
199906,0.36,0.07
200006,0.73,0.44
200106,0.24,-0.05
200206,0.01,-0.28
200306,0.05,-0.24
200406,0.09,-0.20
200506,0.21,-0.08
200606,0.34,0.05
200706,0.12,-0.17
200806,0.15,-0.14
200906,0.34,0.05
201006,0.08,-0.21
201106,0.02,-0.27
201206,0.08,-0.21
201306,0.03,-0.26
201406,0.01,-0.28
201506,0.80,0.51
201606,0.43,0.14
201706,0.06,-0.23
201806,0.33,0.04
201906,0.06,-0.23
202006,0.04,-0.25
202106,0.22,-0.07
