Virginia, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,2.94,-0.41
195101,1.72,-1.63
195201,4.77,1.42
195301,3.41,0.06
195401,4.40,1.05
195501,1.24,-2.11
195601,1.62,-1.73
195701,3.77,0.42
195801,3.42,0.07
195901,2.05,-1.30
196001,2.45,-0.90
196101,2.52,-0.83
196201,3.98,0.63
196301,1.87,-1.48
196401,4.02,0.67
196501,2.91,-0.44
196601,3.99,0.64
196701,1.90,-1.45
196801,2.96,-0.39
196901,2.29,-1.06
197001,1.59,-1.76
197101,2.81,-0.54
197201,3.02,-0.33
197301,2.60,-0.75
197401,4.22,0.87
197501,4.12,0.77
197601,4.04,0.69
197701,1.96,-1.39
197801,6.94,3.59
197901,6.18,2.83
198001,4.16,0.81
198101,0.59,-2.76
198201,3.93,0.58
198301,1.60,-1.75
198401,2.49,-0.86
198501,2.95,-0.40
198601,1.75,-1.60
198701,5.08,1.73
198801,2.53,-0.82
198901,2.10,-1.25
199001,3.47,0.12
199101,3.72,0.37
199201,2.65,-0.70
199301,3.77,0.42
199401,4.20,0.85
199501,5.05,1.70
199601,5.93,2.58
199701,2.66,-0.69
199801,6.89,3.54
199901,4.99,1.64
200001,3.25,-0.10
200101,2.27,-1.08
200201,2.99,-0.36
200301,2.19,-1.16
200401,1.95,-1.40
200501,3.09,-0.26
200601,3.10,-0.25
200701,3.19,-0.16
200801,1.42,-1.93
200901,2.92,-0.43
201001,4.18,0.83
201101,1.58,-1.77
201201,2.26,-1.09
201301,5.95,2.60
201401,2.69,-0.66
201501,2.59,-0.76
201601,2.93,-0.42
201701,3.96,0.61
201801,2.67,-0.68
201901,3.52,0.17
202001,3.55,0.20
202101,3.14,-0.21
