Oklahoma, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,1.78,-1.64
195104,2.11,-1.31
195204,4.27,0.85
195304,4.07,0.65
195404,3.53,0.11
195504,1.91,-1.51
195604,1.53,-1.89
195704,8.04,4.62
195804,2.82,-0.60
195904,2.53,-0.89
196004,1.92,-1.50
196104,1.09,-2.33
196204,2.82,-0.60
196304,2.32,-1.10
196404,2.73,-0.69
196504,2.51,-0.91
196604,4.08,0.66
196704,5.22,1.80
196804,3.14,-0.28
196904,2.77,-0.65
197004,4.52,1.10
197104,1.89,-1.53
197204,3.06,-0.36
197304,4.81,1.39
197404,3.84,0.42
197504,2.01,-1.41
197604,5.34,1.92
197704,3.04,-0.38
197804,2.16,-1.26
197904,2.89,-0.53
198004,2.86,-0.56
198104,2.17,-1.25
198204,1.70,-1.72
198304,2.72,-0.70
198404,2.76,-0.66
198504,4.65,1.23
198604,3.88,0.46
198704,0.71,-2.71
198804,3.85,0.43
198904,0.55,-2.87
199004,6.03,2.61
199104,3.32,-0.10
199204,3.09,-0.33
199304,4.03,0.61
199404,4.66,1.24
199504,4.35,0.93
199604,2.20,-1.22
199704,5.48,2.06
199804,2.55,-0.87
199904,5.86,2.44
200004,2.57,-0.85
200104,1.37,-2.05
200204,4.14,0.72
200304,1.88,-1.54
200404,3.65,0.23
200504,1.37,-2.05
200604,3.35,-0.07
200704,2.81,-0.61
200804,4.58,1.16
200904,4.82,1.40
201004,2.63,-0.79
201104,3.49,0.07
201204,3.45,0.03
201304,3.81,0.39
201404,1.69,-1.73
201504,4.85,1.43
201604,6.05,2.63
201704,6.62,3.20
201804,2.18,-1.24
201904,3.91,0.49
202004,2.92,-0.50
202104,3.44,0.02
