Massachusetts, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,3.02,-0.63
195106,3.15,-0.50
195206,4.16,0.51
195306,1.93,-1.72
195406,2.93,-0.72
195506,3.27,-0.38
195606,2.61,-1.04
195706,2.08,-1.57
195806,2.09,-1.56
195906,4.97,1.32
196006,3.18,-0.47
196106,2.74,-0.91
196206,3.52,-0.13
196306,2.75,-0.90
196406,1.73,-1.92
196506,2.67,-0.98
196606,2.32,-1.33
196706,3.88,0.23
196806,7.04,3.39
196906,2.64,-1.01
197006,3.56,-0.09
197106,1.96,-1.69
197206,8.07,4.42
197306,5.00,1.35
197406,3.27,-0.38
197506,4.28,0.63
197606,1.79,-1.86
197706,4.76,1.11
197806,3.13,-0.52
197906,1.06,-2.59
198006,3.70,0.05
198106,3.39,-0.26
198206,10.20,6.55
198306,2.67,-0.98
198406,4.33,0.68
198506,4.24,0.59
198606,6.37,2.72
198706,2.86,-0.79
198806,1.42,-2.23
198906,5.32,1.67
199006,1.99,-1.66
199106,2.48,-1.17
199206,5.25,1.60
199306,2.28,-1.37
199406,2.58,-1.07
199506,2.45,-1.20
199606,2.96,-0.69
199706,1.35,-2.30
199806,9.21,5.56
199906,1.44,-2.21
200006,6.20,2.55
200106,5.89,2.24
200206,4.59,0.94
200306,5.52,1.87
200406,2.21,-1.44
200506,2.46,-1.19
200606,9.49,5.84
200706,3.07,-0.58
200806,4.46,0.81
200906,5.60,1.95
201006,3.35,-0.30
201106,5.45,1.80
201206,4.07,0.42
201306,9.59,5.94
201406,2.81,-0.84
201506,6.57,2.92
201606,1.77,-1.88
201706,4.45,0.80
201806,4.05,0.40
201906,4.35,0.70
202006,2.53,-1.12
202106,2.49,-1.16
