Massachusetts, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,2.82,-0.77
195105,3.97,0.38
195205,4.07,0.48
195305,4.99,1.40
195405,6.58,2.99
195505,1.61,-1.98
195605,2.01,-1.58
195705,3.10,-0.49
195805,3.73,0.14
195905,1.49,-2.10
196005,3.72,0.13
196105,4.10,0.51
196205,2.23,-1.36
196305,3.61,0.02
196405,1.04,-2.55
196505,1.44,-2.15
196605,3.75,0.16
196705,6.68,3.09
196805,4.26,0.67
196905,2.69,-0.90
197005,3.72,0.13
197105,4.21,0.62
197205,5.55,1.96
197305,5.11,1.52
197405,4.38,0.79
197505,2.56,-1.03
197605,3.81,0.22
197705,3.27,-0.32
197805,4.40,0.81
197905,5.44,1.85
198005,1.79,-1.80
198105,2.83,-0.76
198205,2.60,-0.99
198305,5.04,1.45
198405,8.90,5.31
198505,3.93,0.34
198605,2.04,-1.55
198705,1.86,-1.73
198805,3.59,0.00
198905,6.30,2.71
199005,7.12,3.53
199105,3.84,0.25
199205,1.86,-1.73
199305,1.18,-2.41
199405,4.43,0.84
199505,2.69,-0.90
199605,4.02,0.43
199705,3.43,-0.16
199805,4.96,1.37
199905,3.91,0.32
200005,3.94,0.35
200105,3.06,-0.53
200205,5.43,1.84
200305,4.17,0.58
200405,3.80,0.21
200505,4.62,1.03
200605,8.37,4.78
200705,3.29,-0.30
200805,2.21,-1.38
200905,3.83,0.24
201005,2.74,-0.85
201105,3.67,0.08
201205,4.79,1.20
201305,5.14,1.55
201405,3.75,0.16
201505,0.96,-2.63
201605,2.98,-0.61
201705,5.78,2.19
201805,2.05,-1.54
201905,3.70,0.11
202005,2.50,-1.09
202105,5.14,1.55
